"",BBDA1.M.DE.N.IM.S.A.CH.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.CH.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Switzerland / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:36,
1990-07,1140483,
1990-08,904207,
1990-09,979650,
1990-10,1143615,
1990-11,1206729,
1990-12,1027282,
1991-01,1012980,
1991-02,1070214,
1991-03,1079043,
1991-04,1035763,
1991-05,1103267,
1991-06,1112922,
1991-07,1165272,
1991-08,970588,
1991-09,1098364,
1991-10,1126451,
1991-11,1115297,
1991-12,1059282,
1992-01,1009273,
1992-02,1040781,
1992-03,1168764,
1992-04,1086386,
1992-05,1047188,
1992-06,892169,
1992-07,1281306,
1992-08,881723,
1992-09,1098655,
1992-10,1117348,
1992-11,1086346,
1992-12,1252486,
1993-01,875470,
1993-02,1058913,
1993-03,1016638,
1993-04,1066718,
1993-05,901580,
1993-06,1010773,
1993-07,1086311,
1993-08,904668,
1993-09,1048282,
1993-10,1110841,
1993-11,1160980,
1993-12,1087894,
1994-01,876562,
1994-02,1051019,
1994-03,1245759,
1994-04,999345,
1994-05,1112831,
1994-06,1178017,
1994-07,1138014,
1994-08,955939,
1994-09,1244473,
1994-10,1174440,
1994-11,1319618,
1994-12,1309475,
1995-01,995695,
1995-02,1088141,
1995-03,1400034,
1995-04,1039842,
1995-05,1313141,
1995-06,1275070,
1995-07,1170692,
1995-08,1001048,
1995-09,1234437,
1995-10,1310870,
1995-11,1392758,
1995-12,1180437,
1996-01,1051219,
1996-02,1187043,
1996-03,1184992,
1996-04,1110293,
1996-05,1158734,
1996-06,1181172,
1996-07,1249861,
1996-08,932617,
1996-09,1282333,
1996-10,1251470,
1996-11,1335970,
1996-12,1082043,
1997-01,1120966,
1997-02,1068486,
1997-03,1192365,
1997-04,1357349,
1997-05,1151641,
1997-06,1394674,
1997-07,1299160,
1997-08,1051623,
1997-09,1424672,
1997-10,1451788,
1997-11,1391905,
1997-12,1361365,
1998-01,1178544,
1998-02,1300140,
1998-03,1605218,
1998-04,1241498,
1998-05,1290825,
1998-06,1517344,
1998-07,1554000,
1998-08,1085031,
1998-09,1438913,
1998-10,1520177,
1998-11,1402622,
1998-12,1508297,
1999-01,1223156,
1999-02,1367099,
1999-03,1607176,
1999-04,1401015,
1999-05,1235799,
1999-06,1518550,
1999-07,1406106,
1999-08,1131869,
1999-09,1489587,
1999-10,1517215,
1999-11,1615218,
1999-12,1557459,
2000-01,1288615,
2000-02,1502993,
2000-03,1659614,
2000-04,1411048,
2000-05,1610738,
2000-06,1517912,
2000-07,1616680,
2000-08,1445026,
2000-09,1712868,
2000-10,1707769,
2000-11,1756029,
2000-12,1567701,
2001-01,1481893,
2001-02,1606083,
2001-03,1766023,
2001-04,1614961,
2001-05,1675141,
2001-06,1588106,
2001-07,1778143,
2001-08,1513329,
2001-09,1537502,
2001-10,1821348,
2001-11,1944444,
2001-12,1425651,
2002-01,1549359,
2002-02,1537982,
2002-03,1597045,
2002-04,1683620,
2002-05,1590719,
2002-06,1685913,
2002-07,1603761,
2002-08,1629330,
2002-09,1607363,
2002-10,1812251,
2002-11,1716197,
2002-12,1447816,
2003-01,1682401,
2003-02,1534749,
2003-03,1604667,
2003-04,1624745,
2003-05,1671105,
2003-06,1508087,
2003-07,1591551,
2003-08,1379451,
2003-09,1450985,
2003-10,1796617,
2003-11,1695047,
2003-12,1553195,
2004-01,1472424,
2004-02,1600511,
2004-03,1590017,
2004-04,1744234,
2004-05,1671583,
2004-06,1714163,
2004-07,1839451,
2004-08,1577473,
2004-09,2105978,
2004-10,2031225,
2004-11,2247415,
2004-12,1850242,
2005-01,1840371,
2005-02,1617527,
2005-03,1769188,
2005-04,1905086,
2005-05,1875294,
2005-06,2031641,
2005-07,1958004,
2005-08,1644742,
2005-09,1822534,
2005-10,2013240,
2005-11,2096267,
2005-12,2046317,
2006-01,1879210,
2006-02,1901410,
2006-03,2317104,
2006-04,1949137,
2006-05,2062911,
2006-06,2113282,
2006-07,2149668,
2006-08,2001961,
2006-09,2144398,
2006-10,2271398,
2006-11,2371353,
2006-12,2064946,
2007-01,2263217,
2007-02,2489120,
2007-03,2694713,
2007-04,2763330,
2007-05,2126618,
2007-06,2456171,
2007-07,2503317,
2007-08,2267122,
2007-09,2665315,
2007-10,2678309,
2007-11,2724632,
2007-12,2190420,
2008-01,2509419,
2008-02,2605139,
2008-03,2515016,
2008-04,2823096,
2008-05,2548861,
2008-06,2674517,
2008-07,2972622,
2008-08,2121478,
2008-09,2607422,
2008-10,2950688,
2008-11,2786427,
2008-12,2183895,
2009-01,2443493,
2009-02,2348274,
2009-03,2589509,
2009-04,2430879,
2009-05,2218211,
2009-06,2194126,
2009-07,2546522,
2009-08,2042157,
2009-09,2422018,
2009-10,2377271,
2009-11,2406782,
2009-12,2076717,
2010-01,2264522,
2010-02,2258651,
2010-03,2923663,
2010-04,2584156,
2010-05,3030322,
2010-06,3110390,
2010-07,2837747,
2010-08,2387136,
2010-09,2817610,
2010-10,2857605,
2010-11,2944190,
2010-12,2490892,
2011-01,2753060,
2011-02,2826526,
2011-03,3257197,
2011-04,2707102,
2011-05,3257460,
2011-06,2966703,
2011-07,3061513,
2011-08,3242641,
2011-09,3320486,
2011-10,3380248,
2011-11,3281160,
2011-12,2942368,
2012-01,3013593,
2012-02,3271264,
2012-03,3133515,
2012-04,2754987,
2012-05,3219162,
2012-06,3229689,
2012-07,3444373,
2012-08,3114828,
2012-09,3218138,
2012-10,3591871,
2012-11,3379084,
2012-12,2404770,
2013-01,2928203,
2013-02,2967922,
2013-03,3027808,
2013-04,3394088,
2013-05,3319418,
2013-06,3546056,
2013-07,3396678,
2013-08,2927935,
2013-09,3207894,
2013-10,3547010,
2013-11,3438384,
2013-12,2620075,
2014-01,3187613,
2014-02,3174515,
2014-03,3400180,
2014-04,3385030,
2014-05,3273011,
2014-06,3177325,
2014-07,3659452,
2014-08,2801826,
2014-09,3131733,
2014-10,3601276,
2014-11,3576989,
2014-12,2960244,
