"",BBFN1.M.DE.N.1.A.B0.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:52,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,43.164,
1995-02,43.264,
1995-03,44.662,
1995-04,44.545,
1995-05,44.898,
1995-06,45.202,
1995-07,43.588,
1995-08,42.717,
1995-09,43.753,
1995-10,43.602,
1995-11,44.736,
1995-12,40.901,
1996-01,40.556,
1996-02,41.180,
1996-03,42.535,
1996-04,42.145,
1996-05,42.099,
1996-06,42.366,
1996-07,41.433,
1996-08,39.782,
1996-09,41.403,
1996-10,41.906,
1996-11,43.247,
1996-12,41.930,
1997-01,41.946,
1997-02,42.460,
1997-03,44.068,
1997-04,45.000,
1997-05,44.692,
1997-06,45.583,
1997-07,44.553,
1997-08,42.628,
1997-09,45.014,
1997-10,46.680,
1997-11,47.908,
1997-12,45.123,
1998-01,45.651,
1998-02,47.347,
1998-03,48.720,
1998-04,49.476,
1998-05,49.646,
1998-06,49.812,
1998-07,48.832,
1998-08,46.695,
1998-09,48.535,
1998-10,49.668,
1998-11,49.578,
1998-12,47.398,
1999-01,47.119,
1999-02,48.317,
1999-03,50.388,
1999-04,50.177,
1999-05,50.449,
1999-06,51.651,
1999-07,50.580,
1999-08,49.441,
1999-09,51.821,
1999-10,53.490,
1999-11,54.940,
1999-12,53.175,
2000-01,53.468,
2000-02,55.735,
2000-03,58.400,
2000-04,58.085,
2000-05,59.393,
2000-06,59.522,
2000-07,58.349,
2000-08,57.803,
2000-09,60.015,
2000-10,61.471,
2000-11,63.113,
2000-12,59.921,
2001-01,60.703,
2001-02,61.439,
2001-03,63.415,
2001-04,61.664,
2001-05,62.712,
2001-06,63.012,
2001-07,61.362,
2001-08,60.737,
2001-09,62.155,
2001-10,62.916,
2001-11,63.667,
2001-12,60.874,
2002-01,59.880,
2002-02,60.175,
2002-03,59.346,
2002-04,59.837,
2002-05,58.567,
2002-06,60.832,
2002-07,58.590,
2002-08,55.781,
2002-09,57.665,
2002-10,59.110,
2002-11,59.093,
2002-12,56.169,
2003-01,56.747,
2003-02,56.640,
2003-03,58.709,
2003-04,58.863,
2003-05,57.099,
2003-06,57.529,
2003-07,56.370,
2003-08,54.230,
2003-09,55.927,
2003-10,57.118,
2003-11,58.596,
2003-12,55.151,
2004-01,54.473,
2004-02,56.352,
2004-03,58.270,
2004-04,57.065,
2004-05,65.323,
2004-06,67.526,
2004-07,64.795,
2004-08,61.955,
2004-09,65.045,
2004-10,67.401,
2004-11,69.724,
2004-12,65.359,
2005-01,64.996,
2005-02,65.207,
2005-03,68.427,
2005-04,68.087,
2005-05,67.614,
2005-06,69.511,
2005-07,68.861,
2005-08,65.947,
2005-09,70.448,
2005-10,71.316,
2005-11,73.692,
2005-12,70.403,
2006-01,71.486,
2006-02,72.845,
2006-03,75.776,
2006-04,74.578,
2006-05,74.232,
2006-06,76.566,
2006-07,74.352,
2006-08,71.724,
2006-09,76.591,
2006-10,77.826,
2006-11,81.299,
2006-12,77.809,
2007-01,80.246,
2007-02,81.692,
2007-03,84.855,
2007-04,82.381,
2007-05,82.709,
2007-06,84.592,
2007-07,81.165,
2007-08,78.554,
2007-09,82.346,
2007-10,84.334,
2007-11,87.045,
2007-12,82.381,
2008-01,83.225,
2008-02,86.461,
2008-03,88.589,
2008-04,89.435,
2008-05,90.304,
2008-06,91.610,
2008-07,89.259,
2008-08,85.502,
2008-09,89.111,
2008-10,89.248,
2008-11,88.070,
2008-12,82.680,
2009-01,78.760,
2009-02,79.653,
2009-03,80.746,
2009-04,75.835,
2009-05,78.034,
2009-06,81.413,
2009-07,79.430,
2009-08,74.983,
2009-09,77.228,
2009-10,79.686,
2009-11,82.020,
2009-12,77.045,
2010-01,70.194,
2010-02,70.670,
2010-03,76.393,
2010-04,74.404,
2010-05,76.678,
2010-06,79.181,
2010-07,76.960,
2010-08,74.233,
2010-09,79.470,
2010-10,80.903,
2010-11,81.193,
2010-12,78.752,
2011-01,80.093,
2011-02,85.200,
2011-03,86.381,
2011-04,85.349,
2011-05,86.092,
2011-06,87.445,
2011-07,85.197,
2011-08,81.460,
2011-09,86.943,
2011-10,86.777,
2011-11,88.441,
2011-12,86.356,
2012-01,84.949,
2012-02,87.655,
2012-03,90.949,
2012-04,87.103,
2012-05,86.351,
2012-06,88.424,
2012-07,86.800,
2012-08,84.250,
2012-09,88.225,
2012-10,88.517,
2012-11,90.989,
2012-12,84.642,
2013-01,83.467,
2013-02,85.418,
2013-03,89.515,
2013-04,86.933,
2013-05,83.643,
2013-06,88.184,
2013-07,81.463,
2013-08,80.011,
2013-09,86.642,
2013-10,87.297,
2013-11,91.107,
2013-12,86.461,
2014-01,84.863,
2014-02,86.180,
2014-03,90.309,
2014-04,88.304,
2014-05,86.956,
2014-06,90.087,
2014-07,87.429,
2014-08,85.190,
2014-09,89.504,
2014-10,89.989,
2014-11,92.292,
2014-12,88.483,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
