"",BBK01.OEBL02T,BBK01.OEBL02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:11,
2002-01,0.760,
2002-04,0.925,
2002-07,0.923,
2002-10,0.940,
2003-01,0.899,
2003-04,0.886,
2003-07,0.874,
2003-10,0.925,
2004-01,0.903,
2004-04,0.901,
2004-07,0.883,
2004-10,0.862,
2005-01,1.039,
2005-04,1.042,
2005-07,1.051,
2005-10,1.104,
2006-01,1.121,
2006-04,1.115,
2006-07,1.085,
2006-10,1.136,
2007-01,1.144,
2007-04,1.201,
2007-07,1.238,
2007-10,1.296,
2008-01,1.281,
2008-04,1.280,
2008-07,1.308,
2008-10,1.454,
2009-01,1.477,
2009-04,1.458,
2009-07,1.440,
2009-10,1.510,
2010-01,1.535,
2010-04,1.564,
2010-07,1.605,
2010-10,1.666,
2011-01,1.633,
2011-04,1.652,
2011-07,1.720,
2011-10,1.784,
2012-01,1.766,
2012-04,1.809,
2012-07,1.750,
2012-10,1.841,
2013-01,1.894,
2013-04,1.943,
2013-07,1.974,
2013-10,1.951,
2014-01,1.981,
2014-04,2.031,
2014-07,2.129,
