"",BBSF2.M.1.T.00000.DHE01.I.F.INV.Z5.00000.F05200.Z01.00,BBSF2.M.1.T.00000.DHE01.I.F.INV.Z5.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Hedge funds / Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:57,
2009-09,218,
2009-10,227,
2009-11,240,
2009-12,241,
2010-01,238,
2010-02,229,
2010-03,221,
2010-04,208,
2010-05,199,
2010-06,195,
2010-07,163,
2010-08,159,
2010-09,161,
2010-10,151,
2010-11,163,
2010-12,167,
2011-01,77,
2011-02,77,
2011-03,75,
2011-04,73,
2011-05,68,
2011-06,71,
2011-07,71,
2011-08,68,
2011-09,67,
2011-10,58,
2011-11,61,
2011-12,59,
2012-01,55,
2012-02,55,
2012-03,53,
2012-04,54,
2012-05,55,
2012-06,53,
2012-07,53,
2012-08,49,
2012-09,49,
2012-10,47,
2012-11,89,
2012-12,85,
2013-01,83,
2013-02,73,
2013-03,46,
2013-04,42,
2013-05,39,
2013-06,38,
2013-07,40,
2013-08,37,
2013-09,34,
2013-10,34,
2013-11,35,
2013-12,34,
2014-01,35,
2014-02,33,
2014-03,33,
2014-04,23,
2014-05,24,
2014-06,24,
2014-07,24,
2014-08,24,
2014-09,26,
2014-10,25,
2014-11,26,
