"",BBK01.OELL03Q,BBK01.OELL03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:55,
2002-01,1.347,
2002-04,1.319,
2002-07,1.313,
2002-10,1.332,
2003-01,1.306,
2003-04,1.002,
2003-07,1.197,
2003-10,1.045,
2004-01,1.082,
2004-04,1.059,
2004-07,0.990,
2004-10,1.052,
2005-01,1.041,
2005-04,0.988,
2005-07,1.143,
2005-10,1.196,
2006-01,1.114,
2006-04,1.106,
2006-07,1.387,
2006-10,1.150,
2007-01,1.117,
2007-04,1.144,
2007-07,1.135,
2007-10,1.285,
2008-01,1.357,
2008-04,1.380,
2008-07,1.311,
2008-10,1.481,
2009-01,1.262,
2009-04,1.131,
2009-07,1.018,
2009-10,0.958,
2010-01,0.947,
2010-04,0.888,
2010-07,0.868,
2010-10,0.803,
2011-01,0.816,
2011-04,0.833,
2011-07,0.890,
2011-10,0.882,
2012-01,0.861,
2012-04,0.889,
2012-07,0.858,
2012-10,0.861,
2013-01,0.787,
2013-04,0.702,
2013-07,0.732,
2013-10,0.719,
2014-01,0.685,
2014-04,0.639,
2014-07,0.621,
