"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:28,
1991-01,0.067,
1991-04,0.067,
1991-07,0.067,
1991-10,0.067,
1992-01,-1.336,
1992-04,-1.336,
1992-07,-1.336,
1992-10,-1.336,
1993-01,-0.880,
1993-04,-0.880,
1993-07,-0.880,
1993-10,-0.880,
1994-01,-0.015,
1994-04,-0.015,
1994-07,-0.015,
1994-10,-0.015,
1995-01,0.048,
1995-04,0.048,
1995-07,0.048,
1995-10,0.048,
1996-01,0.368,
1996-04,0.368,
1996-07,0.368,
1996-10,0.368,
1997-01,-,Nothing exists
1997-04,-,Nothing exists
1997-07,-,Nothing exists
1997-10,-,Nothing exists
1998-01,-,Nothing exists
1998-04,-,Nothing exists
1998-07,-,Nothing exists
1998-10,-,Nothing exists
1999-01,-1.000,
1999-04,-2.000,
1999-07,-2.000,
1999-10,-,Nothing exists
2000-01,-3.000,
2000-04,-2.000,
2000-07,-1.000,
2000-10,-1.000,
2001-01,-0.789,
2001-04,-0.990,
2001-07,-0.990,
2001-10,-0.789,
2002-01,-0.171,
2002-04,-0.206,
2002-07,-0.222,
2002-10,-0.257,
2003-01,-0.173,
2003-04,-0.209,
2003-07,-0.227,
2003-10,-0.260,
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-1.933,
2005-04,-1.907,
2005-07,-2.040,
2005-10,-11.120,
2006-01,-1.886,
2006-04,-2.031,
2006-07,-2.321,
2006-10,-2.760,
2007-01,0.000,
2007-04,0.000,
2007-07,0.000,
2007-10,0.000,
2008-01,1.351,
2008-04,-0.754,
2008-07,-1.326,
2008-10,-0.372,
2009-01,-0.066,
2009-04,-0.540,
2009-07,-1.486,
2009-10,-2.907,
2010-01,0.396,
2010-04,0.499,
2010-07,0.554,
2010-10,0.553,
2011-01,3.205,
2011-04,3.138,
2011-07,3.215,
2011-10,3.445,
2012-01,3.818,
2012-04,4.024,
2012-07,4.059,
2012-10,3.927,
2013-01,1.967,
2013-04,-0.145,
2013-07,1.792,
2013-10,0.777,
2014-01,1.816,Provisional value
2014-04,1.843,Provisional value
2014-07,1.862,Provisional value
2014-10,1.871,Provisional value
