"",BBK01.OEBI07R,BBK01.OEBI07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:56,
2002-01,0.877,
2002-04,0.783,
2002-07,0.795,
2002-10,0.818,
2003-01,0.804,
2003-04,0.768,
2003-07,0.766,
2003-10,0.758,
2004-01,0.732,
2004-04,0.702,
2004-07,0.707,
2004-10,0.723,
2005-01,1.306,
2005-04,1.294,
2005-07,1.277,
2005-10,1.296,
2006-01,1.301,
2006-04,1.285,
2006-07,1.279,
2006-10,1.298,
2007-01,1.394,
2007-04,1.405,
2007-07,1.433,
2007-10,1.509,
2008-01,1.554,
2008-04,1.596,
2008-07,1.611,
2008-10,1.730,
2009-01,1.724,
2009-04,1.712,
2009-07,1.752,
2009-10,1.721,
2010-01,1.679,
2010-04,1.658,
2010-07,1.648,
2010-10,1.712,
2011-01,1.770,
2011-04,1.767,
2011-07,1.753,
2011-10,1.767,
2012-01,1.808,
2012-04,1.787,
2012-07,1.778,
2012-10,1.768,
2013-01,1.713,
2013-04,1.663,
2013-07,1.648,
2013-10,1.649,
2014-01,1.631,
2014-04,1.604,
2014-07,1.664,
