"",BBNZ1.Q.DE.N.H.0052.A,BBNZ1.Q.DE.N.H.0052.A_FLAGS
"",Germany / National accounts / Origin of GDP / Production sector (excluding construction) / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:23,
1991-01,87.67,
1991-04,89.16,
1991-07,86.40,
1991-10,88.29,
1992-01,87.49,
1992-04,85.99,
1992-07,84.02,
1992-10,84.54,
1993-01,78.85,
1993-04,79.51,
1993-07,78.69,
1993-10,81.44,
1994-01,79.33,
1994-04,81.52,
1994-07,80.72,
1994-10,84.64,
1995-01,81.52,
1995-04,81.84,
1995-07,80.16,
1995-10,82.28,
1996-01,78.19,
1996-04,79.32,
1996-07,79.37,
1996-10,81.33,
1997-01,77.36,
1997-04,83.53,
1997-07,82.30,
1997-10,84.89,
1998-01,81.68,
1998-04,82.92,
1998-07,82.89,
1998-10,83.61,
1999-01,80.52,
1999-04,83.01,
1999-07,83.50,
1999-10,86.68,
2000-01,87.05,
2000-04,88.79,
2000-07,88.71,
2000-10,90.13,
2001-01,90.36,
2001-04,89.85,
2001-07,88.57,
2001-10,88.61,
2002-01,85.49,
2002-04,89.26,
2002-07,89.28,
2002-10,88.44,
2003-01,87.32,
2003-04,88.39,
2003-07,89.28,
2003-10,89.66,
2004-01,90.54,
2004-04,93.37,
2004-07,92.84,
2004-10,92.57,
2005-01,89.80,
2005-04,95.35,
2005-07,94.04,
2005-10,94.62,
2006-01,97.42,
2006-04,98.63,
2006-07,99.32,
2006-10,100.61,
2007-01,101.82,
2007-04,103.25,
2007-07,104.46,
2007-10,104.88,
2008-01,102.85,
2008-04,107.33,
2008-07,103.44,
2008-10,94.75,
2009-01,84.65,
2009-04,84.30,
2009-07,87.90,
2009-10,89.09,
2010-01,95.65,
2010-04,99.44,
2010-07,101.31,
2010-10,103.61,
2011-01,105.55,
2011-04,106.03,
2011-07,107.28,
2011-10,104.18,
2012-01,109.75,
2012-04,107.47,
2012-07,107.58,
2012-10,104.31,
2013-01,105.90,
2013-04,108.42,
2013-07,108.78,
2013-10,106.91,
2014-01,109.40,
2014-04,108.52,
2014-07,110.11,
2014-10,107.80,
