"",BBK01.OEYI01P,BBK01.OEYI01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:37,
2002-01,2.736,
2002-04,2.634,
2002-07,2.807,
2002-10,3.032,
2003-01,3.224,
2003-04,3.405,
2003-07,3.523,
2003-10,3.799,
2004-01,3.492,
2004-04,3.421,
2004-07,3.707,
2004-10,3.945,
2005-01,4.111,
2005-04,4.110,
2005-07,4.163,
2005-10,4.141,
2006-01,4.451,
2006-04,4.441,
2006-07,4.475,
2006-10,4.633,
2007-01,4.771,
2007-04,4.949,
2007-07,4.980,
2007-10,5.060,
2008-01,5.136,
2008-04,5.177,
2008-07,5.135,
2008-10,5.210,
2009-01,5.066,
2009-04,4.922,
2009-07,5.117,
2009-10,4.799,
2010-01,4.936,
2010-04,4.955,
2010-07,5.120,
2010-10,5.161,
2011-01,5.809,
2011-04,6.022,
2011-07,6.816,
2011-10,6.716,
2012-01,6.785,
2012-04,6.807,
2012-07,6.587,
2012-10,6.417,
2013-01,6.445,
2013-04,6.138,
2013-07,5.600,
2013-10,5.016,
2014-01,5.333,
2014-04,5.127,
2014-07,5.178,
