"",BBK01.OEYK02N,BBK01.OEYK02N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:55,
2002-01,0.044,
2002-04,0.045,
2002-07,0.022,
2002-10,0.035,
2003-01,0.029,
2003-04,0.018,
2003-07,0.013,
2003-10,0.015,
2004-01,0.004,
2004-04,0.006,
2004-07,0.005,
2004-10,0.005,
2005-01,0.006,
2005-04,0.004,
2005-07,0.004,
2005-10,0.011,
2006-01,0.019,
2006-04,0.007,
2006-07,0.012,
2006-10,0.014,
2007-01,0.016,
2007-04,0.013,
2007-07,0.012,
2007-10,0.014,
2008-01,0.012,
2008-04,0.011,
2008-07,0.010,
2008-10,0.018,
2009-01,0.015,
2009-04,0.018,
2009-07,0.018,
2009-10,0.021,
2010-01,0.018,
2010-04,0.021,
2010-07,0.017,
2010-10,0.015,
2011-01,0.016,
2011-04,0.023,
2011-07,0.151,
2011-10,0.148,
2012-01,0.113,
2012-04,0.100,
2012-07,0.109,
2012-10,0.092,
2013-01,0.109,
2013-04,0.122,
2013-07,0.142,
2013-10,0.165,
2014-01,0.168,
2014-04,0.172,
2014-07,0.173,
