"",BBK01.OEBK06G,BBK01.OEBK06G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:22,
2002-01,0.037,
2002-04,0.037,
2002-07,0.033,
2002-10,0.025,
2003-01,0.022,
2003-04,0.022,
2003-07,0.023,
2003-10,0.023,
2004-01,0.023,
2004-04,0.022,
2004-07,0.022,
2004-10,0.022,
2005-01,0.025,
2005-04,0.024,
2005-07,0.025,
2005-10,0.025,
2006-01,0.026,
2006-04,0.027,
2006-07,0.031,
2006-10,0.016,
2007-01,0.018,
2007-04,0.018,
2007-07,0.017,
2007-10,0.021,
2008-01,0.027,
2008-04,0.038,
2008-07,0.041,
2008-10,0.048,
2009-01,0.061,
2009-04,0.047,
2009-07,0.041,
2009-10,0.036,
2010-01,0.030,
2010-04,0.039,
2010-07,0.042,
2010-10,0.044,
2011-01,0.047,
2011-04,0.062,
2011-07,0.065,
2011-10,0.070,
2012-01,0.066,
2012-04,0.062,
2012-07,0.061,
2012-10,0.052,
2013-01,0.042,
2013-04,0.032,
2013-07,0.028,
2013-10,0.027,
2014-01,0.026,
2014-04,0.006,
2014-07,0.006,
