"",BBK01.OEXI06N,BBK01.OEXI06N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:03,
2002-01,1.948,
2002-04,1.922,
2002-07,1.765,
2002-10,1.404,
2003-01,1.322,
2003-04,1.302,
2003-07,1.261,
2003-10,1.270,
2004-01,1.405,
2004-04,1.421,
2004-07,1.384,
2004-10,1.374,
2005-01,1.528,
2005-04,1.533,
2005-07,1.580,
2005-10,1.525,
2006-01,1.523,
2006-04,1.569,
2006-07,1.730,
2006-10,1.759,
2007-01,1.765,
2007-04,1.821,
2007-07,1.825,
2007-10,2.058,
2008-01,2.331,
2008-04,2.634,
2008-07,2.767,
2008-10,3.108,
2009-01,3.577,
2009-04,3.161,
2009-07,2.837,
2009-10,2.814,
2010-01,3.357,
2010-04,4.148,
2010-07,4.514,
2010-10,4.854,
2011-01,5.182,
2011-04,5.748,
2011-07,6.124,
2011-10,6.101,
2012-01,6.461,
2012-04,6.857,
2012-07,7.296,
2012-10,7.271,
2013-01,6.799,
2013-04,6.276,
2013-07,6.252,
2013-10,6.193,
2014-01,6.080,
2014-04,5.774,
2014-07,5.205,
