"",BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.SI.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:42,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,0.004,
1993-01,-0.003,
1993-04,-0.002,
1993-07,0.060,
1993-10,-0.248,
1994-01,-0.043,
1994-04,-1.141,
1994-07,0.012,
1994-10,-0.026,
1995-01,0.017,
1995-04,0.083,
1995-07,0.012,
1995-10,0.125,
1996-01,-0.024,
1996-04,0.025,
1996-07,0.050,
1996-10,0.059,
1997-01,0.180,
1997-04,-0.119,
1997-07,-1.004,
1997-10,0.179,
1998-01,0.088,
1998-04,-0.775,
1998-07,-0.097,
1998-10,-0.008,
1999-01,0.022,
1999-04,0.000,
1999-07,0.032,
1999-10,0.036,
2000-01,0.021,
2000-04,-0.028,
2000-07,0.038,
2000-10,0.050,
2001-01,-0.008,
2001-04,0.016,
2001-07,0.034,
2001-10,-0.148,
2002-01,0.138,
2002-04,0.022,
2002-07,-,Nothing exists
2002-10,0.014,
2003-01,0.092,
2003-04,-0.118,
2003-07,-0.024,
2003-10,0.014,
2004-01,-0.001,
2004-04,-0.364,
2004-07,-0.039,
2004-10,0.041,
2005-01,0.139,
2005-04,0.213,
2005-07,0.699,
2005-10,-0.731,
2006-01,7.300,
2006-04,1.172,
2006-07,-4.167,
2006-10,-6.551,
2007-01,-19.772,
2007-04,-7.622,
2007-07,-8.794,
2007-10,-7.109,
2008-01,-6.797,
2008-04,3.654,
2008-07,0.174,
2008-10,4.623,
2009-01,-4.189,
2009-04,2.211,
2009-07,-1.813,
2009-10,-5.964,
2010-01,48.004,
2010-04,50.889,
2010-07,7.507,
2010-10,129.746,
2011-01,-7.067,
2011-04,10.360,
2011-07,9.319,
2011-10,-30.803,
2012-01,-31.854,
2012-04,12.174,
2012-07,15.266,
2012-10,21.953,
2013-01,-24.691,
2013-04,61.635,
2013-07,19.043,
2013-10,38.308,
2014-01,-2.775,Provisional value
2014-04,39.646,Provisional value
2014-07,25.051,Provisional value
2014-10,26.096,Provisional value
