"",BBFN1.M.DE.N.1.A.DK.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.DK.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Denmark,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:14:08,
1994-07,0.818,
1994-08,1.031,
1994-09,1.066,
1994-10,1.066,
1994-11,1.086,
1994-12,1.074,
1995-01,1.037,
1995-02,1.091,
1995-03,1.128,
1995-04,1.101,
1995-05,1.151,
1995-06,1.138,
1995-07,1.080,
1995-08,1.060,
1995-09,1.144,
1995-10,1.145,
1995-11,1.133,
1995-12,1.013,
1996-01,1.005,
1996-02,1.022,
1996-03,1.068,
1996-04,1.085,
1996-05,1.117,
1996-06,1.109,
1996-07,1.059,
1996-08,1.044,
1996-09,1.082,
1996-10,1.113,
1996-11,1.134,
1996-12,0.960,
1997-01,0.991,
1997-02,1.000,
1997-03,1.033,
1997-04,1.032,
1997-05,1.048,
1997-06,1.059,
1997-07,0.991,
1997-08,1.014,
1997-09,1.069,
1997-10,1.060,
1997-11,1.070,
1997-12,1.028,
1998-01,1.060,
1998-02,1.100,
1998-03,1.186,
1998-04,1.162,
1998-05,1.202,
1998-06,1.168,
1998-07,1.038,
1998-08,1.024,
1998-09,1.051,
1998-10,1.080,
1998-11,1.073,
1998-12,1.013,
1999-01,1.009,
1999-02,1.040,
1999-03,1.088,
1999-04,1.076,
1999-05,1.113,
1999-06,1.135,
1999-07,1.054,
1999-08,1.102,
1999-09,1.149,
1999-10,1.152,
1999-11,1.146,
1999-12,1.121,
2000-01,1.091,
2000-02,1.120,
2000-03,1.245,
2000-04,1.204,
2000-05,1.330,
2000-06,1.248,
2000-07,1.224,
2000-08,1.173,
2000-09,1.260,
2000-10,1.286,
2000-11,1.273,
2000-12,1.185,
2001-01,1.209,
2001-02,1.217,
2001-03,1.269,
2001-04,1.242,
2001-05,1.254,
2001-06,1.272,
2001-07,1.209,
2001-08,1.235,
2001-09,1.232,
2001-10,1.276,
2001-11,1.287,
2001-12,1.194,
2002-01,1.126,
2002-02,1.164,
2002-03,1.220,
2002-04,1.170,
2002-05,1.124,
2002-06,1.218,
2002-07,1.101,
2002-08,1.128,
2002-09,1.195,
2002-10,1.265,
2002-11,1.212,
2002-12,1.177,
2003-01,1.125,
2003-02,1.156,
2003-03,1.175,
2003-04,1.142,
2003-05,1.146,
2003-06,1.097,
2003-07,1.069,
2003-08,1.113,
2003-09,1.082,
2003-10,1.116,
2003-11,1.144,
2003-12,1.073,
2004-01,1.004,
2004-02,1.035,
2004-03,1.112,
2004-04,1.083,
2004-05,1.063,
2004-06,1.137,
2004-07,1.049,
2004-08,1.056,
2004-09,1.126,
2004-10,1.175,
2004-11,1.187,
2004-12,1.102,
2005-01,1.138,
2005-02,1.194,
2005-03,1.282,
2005-04,1.249,
2005-05,1.193,
2005-06,1.322,
2005-07,1.226,
2005-08,1.250,
2005-09,1.274,
2005-10,1.306,
2005-11,1.453,
2005-12,1.334,
2006-01,1.274,
2006-02,1.272,
2006-03,1.470,
2006-04,1.444,
2006-05,1.401,
2006-06,1.428,
2006-07,1.360,
2006-08,1.425,
2006-09,1.462,
2006-10,1.463,
2006-11,1.516,
2006-12,1.430,
2007-01,1.365,
2007-02,1.426,
2007-03,1.513,
2007-04,1.538,
2007-05,1.483,
2007-06,1.526,
2007-07,1.488,
2007-08,1.523,
2007-09,1.520,
2007-10,1.627,
2007-11,1.711,
2007-12,1.792,
2008-01,1.697,
2008-02,1.774,
2008-03,1.807,
2008-04,1.884,
2008-05,1.770,
2008-06,1.841,
2008-07,1.758,
2008-08,1.692,
2008-09,1.799,
2008-10,1.809,
2008-11,1.702,
2008-12,1.637,
2009-01,1.493,
2009-02,1.473,
2009-03,1.526,
2009-04,1.467,
2009-05,1.435,
2009-06,1.331,
2009-07,1.279,
2009-08,1.280,
2009-09,1.387,
2009-10,1.359,
2009-11,1.417,
2009-12,1.338,
2010-01,1.450,
2010-02,1.247,
2010-03,1.366,
2010-04,1.347,
2010-05,1.387,
2010-06,1.402,
2010-07,1.405,
2010-08,1.356,
2010-09,1.464,
2010-10,1.430,
2010-11,1.484,
2010-12,1.435,
2011-01,1.406,
2011-02,1.310,
2011-03,1.265,
2011-04,1.399,
2011-05,1.364,
2011-06,1.409,
2011-07,1.373,
2011-08,1.324,
2011-09,1.417,
2011-10,1.505,
2011-11,1.566,
2011-12,1.555,
2012-01,1.460,
2012-02,1.501,
2012-03,1.604,
2012-04,1.420,
2012-05,1.443,
2012-06,1.583,
2012-07,1.396,
2012-08,1.371,
2012-09,1.380,
2012-10,1.637,
2012-11,1.613,
2012-12,1.583,
2013-01,1.519,
2013-02,1.596,
2013-03,1.560,
2013-04,1.585,
2013-05,1.401,
2013-06,1.488,
2013-07,1.360,
2013-08,1.323,
2013-09,1.481,
2013-10,1.753,
2013-11,1.779,
2013-12,1.768,
2014-01,1.426,
2014-02,1.407,
2014-03,1.601,
2014-04,1.603,
2014-05,1.953,
2014-06,1.872,
2014-07,1.780,
2014-08,1.823,
2014-09,1.558,
2014-10,1.860,
2014-11,1.787,
2014-12,1.704,
