"",BBK01.CEH7Q2,BBK01.CEH7Q2_FLAGS
"",Other claims (consolidated) debtor: All sectors                   creditor:  Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:00,
1991-01,-2.3,
1991-04,-1.6,
1991-07,4.1,
1991-10,5.4,
1992-01,2.2,
1992-04,-0.6,
1992-07,0.7,
1992-10,6.1,
1993-01,-3.4,
1993-04,-0.3,
1993-07,1.0,
1993-10,5.8,
1994-01,-2.6,
1994-04,0.2,
1994-07,0.3,
1994-10,9.4,
1995-01,4.9,
1995-04,1.1,
1995-07,3.5,
1995-10,7.4,
1996-01,-1.5,
1996-04,0.5,
1996-07,0.6,
1996-10,1.2,
1997-01,1.1,
1997-04,2.1,
1997-07,2.7,
1997-10,5.6,
1998-01,2.0,
1998-04,7.8,
1998-07,11.3,
1998-10,-3.0,
1999-01,9.6,
1999-04,4.4,
1999-07,-0.3,
1999-10,11.2,
2000-01,7.2,
2000-04,4.9,
2000-07,18.2,
2000-10,4.6,
2001-01,14.3,
2001-04,-0.7,
2001-07,-12.7,
2001-10,-4.6,
2002-01,9.0,
2002-04,-2.8,
2002-07,-1.8,
2002-10,5.7,
2003-01,-0.2,
2003-04,-18.9,
2003-07,3.3,
2003-10,16.0,
2004-01,-5.2,
2004-04,-1.3,
2004-07,2.5,
2004-10,0.3,
2005-01,-14.3,
2005-04,4.5,
2005-07,5.7,
2005-10,24.8,
2006-01,-5.8,
2006-04,7.5,
2006-07,7.7,
2006-10,11.5,
2007-01,-4.7,
2007-04,10.6,
2007-07,-0.9,
2007-10,-17.4,
2008-01,-3.7,
2008-04,5.8,
2008-07,9.0,
2008-10,30.6,
2009-01,29.1,
2009-04,-76.8,
2009-07,11.6,
2009-10,-11.0,
2010-01,-3.3,
2010-04,26.2,
2010-07,-15.8,
2010-10,-12.6,
2011-01,-30.8,
2011-04,3.9,
2011-07,-12.1,
2011-10,15.0,
2012-01,7.8,
2012-04,16.5,
2012-07,-10.9,
2012-10,0.2,
2013-01,6.5,
2013-04,-17.6,
2013-07,-21.8,
2013-10,8.2,
2014-01,-10.5,
