"",BBK01.PQP359,BBK01.PQP359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:10,
1985-10,0.338,
1986-01,0.380,
1986-04,0.371,
1986-07,0.315,
1986-10,0.331,
1987-01,0.373,
1987-04,0.357,
1987-07,0.349,
1987-10,0.384,
1988-01,0.375,
1988-04,0.358,
1988-07,0.313,
1988-10,0.328,
1989-01,0.305,
1989-04,0.302,
1989-07,0.308,
1989-10,0.323,
1990-01,0.441,
1990-04,0.459,
1990-07,0.478,
1990-10,0.504,
1991-01,0.481,
1991-04,0.531,
1991-07,0.460,
1991-10,0.577,
1992-01,0.578,
1992-04,0.631,
1992-07,0.606,
1992-10,1.175,
1993-01,1.060,
1993-04,1.098,
1993-07,1.073,
1993-10,1.036,
1994-01,0.939,
1994-04,0.949,
1994-07,1.115,
1994-10,1.173,
1995-01,1.098,
1995-04,1.050,
1995-07,1.035,
1995-10,1.027,
1996-01,0.938,
1996-04,0.976,
1996-07,0.927,
1996-10,0.990,
1997-01,0.912,
1997-04,0.962,
1997-07,0.916,
1997-10,0.898,
1998-01,0.858,
1998-04,0.855,
1998-07,0.800,
1998-10,0.792,
1999-01,0.590,
1999-04,0.666,
1999-07,0.652,
1999-10,0.687,
2000-01,0.758,
2000-04,0.694,
2000-07,0.843,
2000-10,0.824,
2001-01,0.938,
2001-04,0.850,
2001-07,0.858,
2001-10,0.829,
2002-01,0.846,
2002-04,1.114,
2002-07,1.050,
2002-10,1.129,
2003-01,1.047,
2003-04,0.978,
2003-07,0.913,
2003-10,0.959,
2004-01,0.992,
2004-04,1.018,
2004-07,0.993,
2004-10,0.942,
2005-01,1.011,
2005-04,0.903,
2005-07,0.954,
2005-10,3.132,
2006-01,3.141,
2006-04,2.904,
2006-07,2.688,
2006-10,2.670,
2007-01,2.327,
2007-04,2.229,
2007-07,2.308,
2007-10,2.684,
2008-01,2.419,
2008-04,2.365,
2008-07,2.425,
2008-10,2.464,
2009-01,2.631,
2009-04,2.493,
2009-07,2.319,
2009-10,2.388,
2010-01,1.950,
2010-04,2.587,
2010-07,2.343,
2010-10,2.440,
2011-01,2.404,
2011-04,2.352,
2011-07,2.457,
2011-10,2.419,
2012-01,2.518,
2012-04,2.454,
2012-07,2.426,
2012-10,2.510,
2013-01,2.473,
2013-04,2.474,
2013-07,2.421,
2013-10,2.539,
2014-01,2.499,
2014-04,2.487,
2014-07,2.489,
2014-10,2.232,
