"",BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.RU.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Russian Federation,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:33,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,60.573,
1992-07,292.572,
1992-10,-218.330,
1993-01,290.393,
1993-04,3.501,
1993-07,127.976,
1993-10,-254.057,
1994-01,1.564,
1994-04,106.184,
1994-07,4.447,
1994-10,302.613,
1995-01,-445.133,
1995-04,11.360,
1995-07,84.300,
1995-10,-63.862,
1996-01,-306.836,
1996-04,-21.101,
1996-07,692.649,
1996-10,425.928,
1997-01,65.270,
1997-04,-135.442,
1997-07,-184.382,
1997-10,168.298,
1998-01,507.485,
1998-04,540.471,
1998-07,-2307.256,
1998-10,-46.513,
1999-01,412.486,
1999-04,-267.762,
1999-07,33.989,
1999-10,30.886,
2000-01,196.615,
2000-04,552.148,
2000-07,40.808,
2000-10,874.832,
2001-01,607.082,
2001-04,-394.875,
2001-07,983.760,
2001-10,2384.540,
2002-01,360.899,
2002-04,-235.137,
2002-07,2354.716,
2002-10,-782.808,
2003-01,1462.702,
2003-04,-368.488,
2003-07,1363.375,
2003-10,-1443.569,
2004-01,457.726,
2004-04,-349.253,
2004-07,-2256.255,
2004-10,4456.316,
2005-01,42.891,
2005-04,5963.140,
2005-07,2884.110,
2005-10,696.417,
2006-01,5412.319,
2006-04,-1926.257,
2006-07,-853.403,
2006-10,1230.697,
2007-01,2834.118,
2007-04,2831.653,
2007-07,-4550.556,
2007-10,-15370.200,
2008-01,322.222,
2008-04,360.432,
2008-07,12897.920,
2008-10,-7500.849,
2009-01,621.244,
2009-04,-3512.694,
2009-07,1201.782,
2009-10,-1807.108,
2010-01,3378.761,
2010-04,-1733.391,
2010-07,-1228.823,
2010-10,306.578,
2011-01,-2454.722,
2011-04,556.313,
2011-07,3809.600,
2011-10,-5181.405,
2012-01,6442.835,
2012-04,-197.927,
2012-07,3211.973,
2012-10,-959.753,
2013-01,4748.005,
2013-04,-6360.154,
2013-07,525.285,
2013-10,-6519.722,
2014-01,5060.863,Provisional value
2014-04,-1564.938,Provisional value
2014-07,-4071.016,Provisional value
2014-10,-108.068,Provisional value
