"",BBK01.OELB20S,BBK01.OELB20S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:26,
2002-01,0.811,
2002-04,0.822,
2002-07,0.836,
2002-10,0.921,
2003-01,0.931,
2003-04,0.945,
2003-07,0.971,
2003-10,0.987,
2004-01,0.980,
2004-04,0.981,
2004-07,0.957,
2004-10,0.953,
2005-01,0.932,
2005-04,0.927,
2005-07,0.925,
2005-10,0.916,
2006-01,0.902,
2006-04,0.898,
2006-07,0.897,
2006-10,0.895,
2007-01,0.888,
2007-04,0.873,
2007-07,0.866,
2007-10,0.853,
2008-01,0.835,
2008-04,0.834,
2008-07,0.835,
2008-10,0.833,
2009-01,0.823,
2009-04,0.827,
2009-07,0.865,
2009-10,0.821,
2010-01,0.820,
2010-04,0.828,
2010-07,0.839,
2010-10,0.855,
2011-01,0.852,
2011-04,0.857,
2011-07,0.876,
2011-10,0.889,
2012-01,0.896,
2012-04,0.949,
2012-07,0.965,
2012-10,0.980,
2013-01,0.988,
2013-04,0.998,
2013-07,1.020,
2013-10,1.032,
2014-01,1.038,
2014-04,1.052,
2014-07,1.074,
