"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / EU member states not belonging to the Euro area / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:35,
2009-09,22543,
2009-10,23925,
2009-11,23708,
2009-12,23865,
2010-01,23816,
2010-02,24534,
2010-03,26353,
2010-04,26969,
2010-05,27020,
2010-06,27588,
2010-07,28369,
2010-08,29731,
2010-09,30322,
2010-10,31462,
2010-11,31225,
2010-12,31264,
2011-01,31255,
2011-02,31539,
2011-03,32130,
2011-04,32329,
2011-05,33302,
2011-06,33450,
2011-07,33815,
2011-08,32951,
2011-09,33420,
2011-10,29874,
2011-11,32284,
2011-12,33265,
2012-01,34450,
2012-02,35097,
2012-03,35554,
2012-04,35712,
2012-05,36269,
2012-06,36667,
2012-07,37070,
2012-08,37138,
2012-09,36548,
2012-10,35896,
2012-11,35543,
2012-12,35680,
2013-01,33400,
2013-02,33593,
2013-03,33715,
2013-04,34174,
2013-05,34047,
2013-06,32805,
2013-07,32690,
2013-08,32747,
2013-09,32824,
2013-10,32538,
2013-11,33058,
2013-12,32283,
2014-01,31908,
2014-02,32275,
2014-03,32403,
2014-04,32479,
2014-05,32937,
2014-06,34322,
2014-07,34213,
2014-08,34626,
2014-09,35094,
2014-10,35544,
2014-11,35922,
