"",BBK01.CEB7I0,BBK01.CEB7I0_FLAGS
"",Other liabilities debtor: Households and non-profit institutions serving households                                 creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:15,
1991-01,12.3,
1991-04,12.3,
1991-07,13.0,
1991-10,14.3,
1992-01,14.6,
1992-04,14.9,
1992-07,15.0,
1992-10,14.8,
1993-01,15.4,
1993-04,15.7,
1993-07,15.9,
1993-10,15.3,
1994-01,16.1,
1994-04,16.5,
1994-07,16.6,
1994-10,16.5,
1995-01,16.5,
1995-04,17.2,
1995-07,17.3,
1995-10,17.7,
1996-01,18.2,
1996-04,18.1,
1996-07,18.4,
1996-10,17.3,
1997-01,17.4,
1997-04,17.5,
1997-07,17.9,
1997-10,16.7,
1998-01,17.4,
1998-04,17.1,
1998-07,17.5,
1998-10,16.8,
1999-01,13.9,
1999-04,13.7,
1999-07,14.3,
1999-10,14.7,
2000-01,16.0,
2000-04,16.1,
2000-07,16.4,
2000-10,13.3,
2001-01,14.8,
2001-04,14.8,
2001-07,15.0,
2001-10,13.5,
2002-01,15.4,
2002-04,15.4,
2002-07,15.8,
2002-10,14.2,
2003-01,15.6,
2003-04,15.4,
2003-07,15.8,
2003-10,14.9,
2004-01,16.5,
2004-04,16.6,
2004-07,16.2,
2004-10,16.8,
2005-01,17.9,
2005-04,16.6,
2005-07,16.6,
2005-10,13.8,
2006-01,14.2,
2006-04,13.0,
2006-07,12.9,
2006-10,10.6,
2007-01,12.3,
2007-04,12.3,
2007-07,12.4,
2007-10,10.4,
2008-01,11.6,
2008-04,11.2,
2008-07,11.5,
2008-10,10.9,
2009-01,12.3,
2009-04,12.5,
2009-07,12.2,
2009-10,11.7,
2010-01,13.1,
2010-04,12.7,
2010-07,12.9,
2010-10,11.7,
2011-01,13.5,
2011-04,13.1,
2011-07,13.5,
2011-10,13.4,
2012-01,15.3,
2012-04,15.1,
2012-07,15.0,
2012-10,15.2,
2013-01,17.1,
2013-04,16.0,
2013-07,16.2,
2013-10,15.9,
2014-01,17.3,
