"",BBK01.CEF60N,BBK01.CEF60N_FLAGS
"","Insurance, pension an standardised guarantee schemes                            debtor: Total           creditor: Rest of the world",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:19,
1999-01,32.4,
1999-04,32.9,
1999-07,33.4,
1999-10,32.3,
2000-01,33.3,
2000-04,33.7,
2000-07,34.1,
2000-10,36.7,
2001-01,37.8,
2001-04,38.2,
2001-07,39.2,
2001-10,43.8,
2002-01,45.8,
2002-04,46.3,
2002-07,47.0,
2002-10,47.8,
2003-01,48.5,
2003-04,49.2,
2003-07,49.7,
2003-10,59.4,
2004-01,60.4,
2004-04,60.6,
2004-07,61.1,
2004-10,64.8,
2005-01,66.2,
2005-04,66.6,
2005-07,67.8,
2005-10,79.9,
2006-01,72.2,
2006-04,70.0,
2006-07,67.8,
2006-10,71.6,
2007-01,69.5,
2007-04,67.4,
2007-07,65.3,
2007-10,64.3,
2008-01,64.6,
2008-04,64.8,
2008-07,64.9,
2008-10,65.0,
2009-01,65.6,
2009-04,66.1,
2009-07,66.5,
2009-10,66.4,
2010-01,67.7,
2010-04,69.0,
2010-07,70.3,
2010-10,72.3,
2011-01,73.5,
2011-04,74.9,
2011-07,76.3,
2011-10,78.9,
2012-01,79.3,
2012-04,79.8,
2012-07,80.2,
2012-10,80.7,
2013-01,81.7,
2013-04,81.0,
2013-07,80.0,
2013-10,78.8,
2014-01,76.4,
2014-04,76.0,
2014-07,76.1,
