"",BBK01.OEAH34V,BBK01.OEAH34V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:58,
2002-01,0.028,
2002-04,0.032,
2002-07,0.033,
2002-10,0.038,
2003-01,0.032,
2003-04,0.035,
2003-07,0.032,
2003-10,0.031,
2004-01,0.035,
2004-04,0.040,
2004-07,0.046,
2004-10,0.056,
2005-01,0.057,
2005-04,0.055,
2005-07,0.047,
2005-10,0.052,
2006-01,0.076,
2006-04,0.082,
2006-07,0.059,
2006-10,0.068,
2007-01,0.076,
2007-04,0.094,
2007-07,0.099,
2007-10,0.076,
2008-01,0.074,
2008-04,0.070,
2008-07,0.077,
2008-10,0.068,
2009-01,0.178,
2009-04,0.204,
2009-07,0.210,
2009-10,0.253,
2010-01,0.149,
2010-04,0.164,
2010-07,0.175,
2010-10,0.173,
2011-01,0.185,
2011-04,0.226,
2011-07,0.217,
2011-10,0.204,
2012-01,0.266,
2012-04,0.249,
2012-07,0.243,
2012-10,0.214,
2013-01,0.223,
2013-04,0.239,
2013-07,0.218,
2013-10,0.233,
2014-01,0.206,
2014-04,0.189,
2014-07,0.171,
