"",BBK01.OELB09U,BBK01.OELB09U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:43,
2002-01,0.563,
2002-04,0.551,
2002-07,0.553,
2002-10,0.545,
2003-01,0.544,
2003-04,0.556,
2003-07,0.558,
2003-10,0.537,
2004-01,0.568,
2004-04,0.559,
2004-07,0.548,
2004-10,0.525,
2005-01,0.499,
2005-04,0.470,
2005-07,0.462,
2005-10,0.461,
2006-01,0.463,
2006-04,0.462,
2006-07,0.480,
2006-10,0.487,
2007-01,0.486,
2007-04,0.487,
2007-07,0.500,
2007-10,0.513,
2008-01,0.512,
2008-04,0.524,
2008-07,0.525,
2008-10,0.526,
2009-01,0.535,
2009-04,0.539,
2009-07,0.552,
2009-10,0.577,
2010-01,0.568,
2010-04,0.698,
2010-07,0.711,
2010-10,0.727,
2011-01,0.745,
2011-04,0.774,
2011-07,0.800,
2011-10,0.808,
2012-01,0.821,
2012-04,0.862,
2012-07,0.890,
2012-10,0.919,
2013-01,0.934,
2013-04,0.953,
2013-07,0.977,
2013-10,1.022,
2014-01,1.036,
2014-04,1.060,
2014-07,1.109,
