"",BBK01.OEAE26N,BBK01.OEAE26N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:43,
2002-01,0.799,
2002-04,0.763,
2002-07,0.755,
2002-10,0.787,
2003-01,0.763,
2003-04,0.725,
2003-07,0.776,
2003-10,0.782,
2004-01,0.778,
2004-04,0.797,
2004-07,0.822,
2004-10,0.857,
2005-01,0.875,
2005-04,1.176,
2005-07,1.303,
2005-10,1.570,
2006-01,2.050,
2006-04,2.215,
2006-07,2.350,
2006-10,2.364,
2007-01,2.332,
2007-04,2.398,
2007-07,2.351,
2007-10,2.557,
2008-01,2.497,
2008-04,2.445,
2008-07,2.662,
2008-10,2.021,
2009-01,1.731,
2009-04,1.536,
2009-07,1.452,
2009-10,1.233,
2010-01,1.016,
2010-04,0.957,
2010-07,0.950,
2010-10,1.050,
2011-01,0.934,
2011-04,0.904,
2011-07,0.904,
2011-10,0.875,
2012-01,0.811,
2012-04,0.763,
2012-07,0.558,
2012-10,0.548,
2013-01,0.521,
2013-04,0.490,
2013-07,0.488,
2013-10,0.504,
2014-01,0.499,
2014-04,0.497,
2014-07,0.512,
