"",BBK01.OEAD36O,BBK01.OEAD36O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:53,
2002-01,0.399,
2002-04,0.380,
2002-07,0.385,
2002-10,0.378,
2003-01,0.359,
2003-04,0.376,
2003-07,0.368,
2003-10,0.380,
2004-01,0.371,
2004-04,0.366,
2004-07,0.364,
2004-10,0.381,
2005-01,0.374,
2005-04,0.367,
2005-07,0.386,
2005-10,0.382,
2006-01,0.370,
2006-04,0.375,
2006-07,0.370,
2006-10,0.350,
2007-01,0.337,
2007-04,0.356,
2007-07,0.342,
2007-10,0.335,
2008-01,0.342,
2008-04,0.337,
2008-07,0.338,
2008-10,0.331,
2009-01,0.394,
2009-04,0.373,
2009-07,0.373,
2009-10,0.720,
2010-01,0.329,
2010-04,0.366,
2010-07,0.364,
2010-10,0.348,
2011-01,0.327,
2011-04,0.324,
2011-07,0.341,
2011-10,0.338,
2012-01,0.334,
2012-04,0.349,
2012-07,0.331,
2012-10,0.348,
2013-01,0.351,
2013-04,0.334,
2013-07,0.333,
2013-10,0.335,
2014-01,0.374,
2014-04,0.371,
2014-07,0.379,
