"",BBK01.OEAD26V,BBK01.OEAD26V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:05,
2002-01,0.053,
2002-04,0.070,
2002-07,0.083,
2002-10,0.067,
2003-01,0.051,
2003-04,0.047,
2003-07,0.047,
2003-10,0.047,
2004-01,0.054,
2004-04,0.055,
2004-07,0.056,
2004-10,0.055,
2005-01,0.061,
2005-04,0.068,
2005-07,0.062,
2005-10,0.069,
2006-01,0.056,
2006-04,0.059,
2006-07,0.069,
2006-10,0.069,
2007-01,0.058,
2007-04,0.063,
2007-07,0.070,
2007-10,0.075,
2008-01,0.066,
2008-04,0.063,
2008-07,0.066,
2008-10,0.065,
2009-01,0.059,
2009-04,0.069,
2009-07,0.067,
2009-10,0.060,
2010-01,0.067,
2010-04,0.060,
2010-07,0.057,
2010-10,0.057,
2011-01,0.058,
2011-04,0.052,
2011-07,0.065,
2011-10,0.074,
2012-01,0.070,
2012-04,0.065,
2012-07,0.076,
2012-10,0.075,
2013-01,0.083,
2013-04,0.083,
2013-07,0.092,
2013-10,0.090,
2014-01,0.085,
2014-04,0.088,
2014-07,0.085,
