"",BBK01.OEYB14I,BBK01.OEYB14I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:42,
2002-01,0.263,
2002-04,0.260,
2002-07,0.250,
2002-10,0.219,
2003-01,0.202,
2003-04,0.207,
2003-07,0.398,
2003-10,0.357,
2004-01,0.321,
2004-04,0.325,
2004-07,0.378,
2004-10,0.370,
2005-01,0.417,
2005-04,0.413,
2005-07,0.512,
2005-10,0.476,
2006-01,0.434,
2006-04,0.418,
2006-07,0.462,
2006-10,0.321,
2007-01,0.271,
2007-04,0.278,
2007-07,0.279,
2007-10,0.268,
2008-01,0.254,
2008-04,0.255,
2008-07,0.250,
2008-10,0.247,
2009-01,0.241,
2009-04,0.245,
2009-07,0.267,
2009-10,0.267,
2010-01,0.273,
2010-04,0.274,
2010-07,0.285,
2010-10,0.278,
2011-01,0.262,
2011-04,0.259,
2011-07,0.234,
2011-10,0.224,
2012-01,0.219,
2012-04,0.208,
2012-07,0.184,
2012-10,0.174,
2013-01,0.177,
2013-04,0.172,
2013-07,0.145,
2013-10,0.139,
2014-01,0.138,
2014-04,0.158,
2014-07,0.157,
