"",BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:11,
1991-01,284.550,
1991-04,167.863,
1991-07,1040.428,
1991-10,1142.423,
1992-01,-4220.222,
1992-04,-110.243,
1992-07,-239.913,
1992-10,-227.544,
1993-01,2785.539,
1993-04,111.496,
1993-07,-556.397,
1993-10,1096.118,
1994-01,-854.767,
1994-04,-307.155,
1994-07,601.216,
1994-10,-736.418,
1995-01,1712.583,
1995-04,-270.525,
1995-07,-391.769,
1995-10,-603.693,
1996-01,735.710,
1996-04,444.190,
1996-07,1540.027,
1996-10,1339.815,
1997-01,-299.535,
1997-04,646.823,
1997-07,949.386,
1997-10,1193.818,
1998-01,1370.106,
1998-04,2337.112,
1998-07,3411.308,
1998-10,-82.552,
1999-01,-26670.130,
1999-04,20424.453,
1999-07,7040.075,
1999-10,12890.454,
2000-01,7060.553,
2000-04,-11835.320,
2000-07,13136.876,
2000-10,-9705.469,
2001-01,8195.474,
2001-04,-70.181,
2001-07,1584.613,
2001-10,-5460.943,
2002-01,2446.965,
2002-04,429.422,
2002-07,1746.571,
2002-10,-773.943,
2003-01,10063.750,
2003-04,739.410,
2003-07,-7350.751,
2003-10,-613.876,
2004-01,1511.725,
2004-04,-2757.707,
2004-07,1370.605,
2004-10,1896.823,
2005-01,-1000.742,
2005-04,4851.234,
2005-07,3138.719,
2005-10,-5678.415,
2006-01,8662.893,
2006-04,-3707.718,
2006-07,6344.094,
2006-10,-2989.610,
2007-01,4284.747,
2007-04,9999.229,
2007-07,-165.789,
2007-10,-2603.662,
2008-01,7081.847,
2008-04,5820.809,
2008-07,2215.639,
2008-10,-3461.177,
2009-01,-3729.905,
2009-04,2600.260,
2009-07,-3096.039,
2009-10,645.024,
2010-01,2593.124,
2010-04,-210.127,
2010-07,697.893,
2010-10,3406.225,
2011-01,1271.620,
2011-04,8984.299,
2011-07,-26.427,
2011-10,-3001.380,
2012-01,4563.947,
2012-04,1971.428,
2012-07,2042.120,
2012-10,2714.503,
2013-01,5300.921,
2013-04,-485.328,
2013-07,577.267,
2013-10,-4640.014,
2014-01,3725.336,Provisional value
2014-04,812.585,Provisional value
2014-07,871.348,Provisional value
2014-10,221.694,Provisional value
