"",BBFN1.M.DE.N.1.A.AZ.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AZ.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:45,
2006-03,0.022,
2006-04,0.030,
2006-05,0.023,
2006-06,0.017,
2006-07,0.018,
2006-08,0.016,
2006-09,0.016,
2006-10,0.015,
2006-11,0.025,
2006-12,0.022,
2007-01,0.024,
2007-02,0.025,
2007-03,0.028,
2007-04,0.029,
2007-05,0.031,
2007-06,0.029,
2007-07,0.047,
2007-08,0.046,
2007-09,0.032,
2007-10,0.032,
2007-11,0.035,
2007-12,0.038,
2008-01,0.037,
2008-02,0.038,
2008-03,0.051,
2008-04,0.061,
2008-05,0.048,
2008-06,0.050,
2008-07,0.041,
2008-08,0.042,
2008-09,0.043,
2008-10,0.042,
2008-11,0.041,
2008-12,0.040,
2009-01,0.044,
2009-02,0.047,
2009-03,0.051,
2009-04,0.061,
2009-05,0.065,
2009-06,0.065,
2009-07,0.073,
2009-08,0.072,
2009-09,0.073,
2009-10,0.075,
2009-11,0.073,
2009-12,0.075,
2010-01,0.074,
2010-02,0.074,
2010-03,0.077,
2010-04,0.088,
2010-05,0.090,
2010-06,0.095,
2010-07,0.093,
2010-08,0.088,
2010-09,0.096,
2010-10,0.102,
2010-11,0.101,
2010-12,0.104,
2011-01,0.109,
2011-02,0.108,
2011-03,0.112,
2011-04,0.120,
2011-05,0.135,
2011-06,0.134,
2011-07,0.135,
2011-08,0.133,
2011-09,0.160,
2011-10,0.160,
2011-11,0.159,
2011-12,0.160,
2012-01,0.158,
2012-02,0.157,
2012-03,0.160,
2012-04,0.161,
2012-05,0.159,
2012-06,0.160,
2012-07,0.156,
2012-08,0.157,
2012-09,0.152,
2012-10,0.147,
2012-11,0.155,
2012-12,0.154,
2013-01,0.138,
2013-02,0.142,
2013-03,0.144,
2013-04,0.146,
2013-05,0.153,
2013-06,0.146,
2013-07,0.144,
2013-08,0.141,
2013-09,0.148,
2013-10,0.137,
2013-11,0.136,
2013-12,0.129,
2014-01,0.133,
2014-02,0.132,
2014-03,0.162,
2014-04,0.158,
2014-05,0.174,
2014-06,0.173,
2014-07,0.154,
2014-08,0.156,
2014-09,0.157,
2014-10,0.130,
2014-11,0.128,
2014-12,0.165,
