"",BBK01.CEFN0M,BBK01.CEFN0M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:24,
1999-01,9.6,
1999-04,10.4,
1999-07,9.5,
1999-10,9.0,
2000-01,9.7,
2000-04,10.8,
2000-07,9.2,
2000-10,9.4,
2001-01,10.9,
2001-04,12.1,
2001-07,11.6,
2001-10,10.2,
2002-01,10.3,
2002-04,11.1,
2002-07,11.5,
2002-10,11.7,
2003-01,12.1,
2003-04,13.3,
2003-07,12.8,
2003-10,12.3,
2004-01,13.3,
2004-04,13.5,
2004-07,13.5,
2004-10,13.2,
2005-01,14.8,
2005-04,15.3,
2005-07,15.3,
2005-10,14.8,
2006-01,15.2,
2006-04,16.1,
2006-07,15.2,
2006-10,14.6,
2007-01,16.0,
2007-04,16.1,
2007-07,15.2,
2007-10,15.0,
2008-01,15.5,
2008-04,15.3,
2008-07,14.6,
2008-10,16.0,
2009-01,18.3,
2009-04,18.8,
2009-07,19.2,
2009-10,19.9,
2010-01,21.7,
2010-04,23.8,
2010-07,22.7,
2010-10,21.3,
2011-01,22.5,
2011-04,23.2,
2011-07,20.9,
2011-10,22.4,
2012-01,25.3,
2012-04,25.5,
2012-07,25.7,
2012-10,25.0,
2013-01,27.7,
2013-04,28.1,
2013-07,28.3,
2013-10,26.2,
2014-01,28.9,
2014-04,30.3,
2014-07,31.1,
