"",BBK01.OEAF08J,BBK01.OEAF08J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:47,
2002-01,0.064,
2002-04,0.063,
2002-07,0.067,
2002-10,0.071,
2003-01,0.072,
2003-04,0.073,
2003-07,0.076,
2003-10,0.076,
2004-01,0.080,
2004-04,0.073,
2004-07,0.075,
2004-10,0.071,
2005-01,0.073,
2005-04,0.096,
2005-07,0.100,
2005-10,0.087,
2006-01,0.096,
2006-04,0.101,
2006-07,0.118,
2006-10,0.120,
2007-01,0.137,
2007-04,0.139,
2007-07,0.139,
2007-10,0.141,
2008-01,0.124,
2008-04,0.105,
2008-07,0.080,
2008-10,0.083,
2009-01,0.085,
2009-04,0.082,
2009-07,0.084,
2009-10,0.081,
2010-01,0.096,
2010-04,0.090,
2010-07,0.091,
2010-10,0.089,
2011-01,0.088,
2011-04,0.088,
2011-07,0.088,
2011-10,0.091,
2012-01,0.087,
2012-04,0.098,
2012-07,0.093,
2012-10,0.091,
2013-01,0.087,
2013-04,0.086,
2013-07,0.089,
2013-10,0.082,
2014-01,0.080,
2014-04,0.079,
2014-07,0.074,
