"",BBK01.CEBB0N,BBK01.CEBB0N_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:47,
1991-01,102.4,
1991-04,108.0,
1991-07,116.1,
1991-10,133.5,
1992-01,141.0,
1992-04,141.0,
1992-07,169.5,
1992-10,207.0,
1993-01,250.0,
1993-04,276.6,
1993-07,301.2,
1993-10,333.6,
1994-01,318.2,
1994-04,291.1,
1994-07,291.3,
1994-10,305.8,
1995-01,319.0,
1995-04,341.2,
1995-07,353.9,
1995-10,382.9,
1996-01,389.8,
1996-04,391.5,
1996-07,412.1,
1996-10,436.3,
1997-01,457.9,
1997-04,473.1,
1997-07,484.9,
1997-10,501.4,
1998-01,528.4,
1998-04,536.0,
1998-07,586.3,
1998-10,602.7,
1999-01,632.3,
1999-04,632.4,
1999-07,635.2,
1999-10,638.4,
2000-01,641.1,
2000-04,683.5,
2000-07,699.0,
2000-10,731.1,
2001-01,817.1,
2001-04,766.5,
2001-07,873.2,
2001-10,817.1,
2002-01,826.5,
2002-04,873.2,
2002-07,928.7,
2002-10,956.4,
2003-01,991.7,
2003-04,1012.4,
2003-07,981.7,
2003-10,989.9,
2004-01,1069.6,
2004-04,1060.6,
2004-07,1119.1,
2004-10,1154.8,
2005-01,1203.5,
2005-04,1320.0,
2005-07,1333.0,
2005-10,1336.7,
2006-01,1591.0,
2006-04,1573.9,
2006-07,1600.3,
2006-10,1622.2,
2007-01,1618.4,
2007-04,1599.4,
2007-07,1597.7,
2007-10,1620.9,
2008-01,1650.5,
2008-04,1621.1,
2008-07,1682.5,
2008-10,1723.5,
2009-01,1724.4,
2009-04,1727.7,
2009-07,1723.2,
2009-10,1733.2,
2010-01,1791.4,
2010-04,1840.5,
2010-07,1857.8,
2010-10,1830.7,
2011-01,1781.5,
2011-04,1834.3,
2011-07,1919.6,
2011-10,1888.5,
2012-01,1921.2,
2012-04,1960.8,
2012-07,1973.5,
2012-10,1985.3,
2013-01,1972.4,
2013-04,1917.9,
2013-07,1863.2,
2013-10,1875.1,
2014-01,1895.6,
