"",BBK01.OELJ01J,BBK01.OELJ01J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:16,
2002-01,0.125,
2002-04,0.121,
2002-07,0.122,
2002-10,0.100,
2003-01,0.103,
2003-04,0.081,
2003-07,0.087,
2003-10,0.098,
2004-01,0.108,
2004-04,0.097,
2004-07,0.096,
2004-10,0.098,
2005-01,0.156,
2005-04,0.099,
2005-07,0.104,
2005-10,0.100,
2006-01,0.101,
2006-04,0.099,
2006-07,0.112,
2006-10,0.111,
2007-01,0.089,
2007-04,0.088,
2007-07,0.087,
2007-10,0.096,
2008-01,0.103,
2008-04,0.111,
2008-07,0.136,
2008-10,0.146,
2009-01,0.140,
2009-04,0.131,
2009-07,0.129,
2009-10,0.144,
2010-01,0.145,
2010-04,0.167,
2010-07,0.159,
2010-10,0.169,
2011-01,0.148,
2011-04,0.142,
2011-07,0.147,
2011-10,0.145,
2012-01,0.149,
2012-04,0.129,
2012-07,0.150,
2012-10,0.154,
2013-01,0.175,
2013-04,0.161,
2013-07,0.169,
2013-10,0.161,
2014-01,0.185,
2014-04,0.184,
2014-07,0.209,
