"",BBK01.OEHB05O,BBK01.OEHB05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:19,
2002-01,31.157,
2002-04,31.346,
2002-07,31.612,
2002-10,31.592,
2003-01,31.788,
2003-04,32.042,
2003-07,32.284,
2003-10,32.405,
2004-01,32.567,
2004-04,32.662,
2004-07,32.885,
2004-10,32.723,
2005-01,33.057,
2005-04,33.144,
2005-07,33.440,
2005-10,33.707,
2006-01,33.704,
2006-04,33.767,
2006-07,33.845,
2006-10,34.010,
2007-01,34.075,
2007-04,34.117,
2007-07,34.119,
2007-10,34.192,
2008-01,34.140,
2008-04,34.200,
2008-07,34.389,
2008-10,34.536,
2009-01,34.459,
2009-04,34.663,
2009-07,34.897,
2009-10,35.116,
2010-01,35.370,
2010-04,35.757,
2010-07,36.235,
2010-10,36.391,
2011-01,36.429,
2011-04,36.772,
2011-07,37.010,
2011-10,37.231,
2012-01,37.523,
2012-04,37.902,
2012-07,38.193,
2012-10,38.573,
2013-01,38.914,
2013-04,39.046,
2013-07,39.084,
2013-10,39.087,
2014-01,39.153,
2014-04,39.160,
2014-07,39.319,
