"",BBK01.OEAH10R,BBK01.OEAH10R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:36,
2002-01,0.978,
2002-04,1.001,
2002-07,0.992,
2002-10,0.996,
2003-01,0.981,
2003-04,0.978,
2003-07,0.951,
2003-10,0.941,
2004-01,0.935,
2004-04,0.933,
2004-07,0.925,
2004-10,0.910,
2005-01,0.898,
2005-04,0.880,
2005-07,0.865,
2005-10,0.849,
2006-01,0.819,
2006-04,0.815,
2006-07,0.806,
2006-10,0.813,
2007-01,0.816,
2007-04,0.817,
2007-07,0.808,
2007-10,0.787,
2008-01,0.753,
2008-04,0.739,
2008-07,0.716,
2008-10,0.728,
2009-01,0.706,
2009-04,0.684,
2009-07,0.667,
2009-10,0.685,
2010-01,0.723,
2010-04,0.740,
2010-07,0.738,
2010-10,0.715,
2011-01,0.710,
2011-04,0.747,
2011-07,0.757,
2011-10,0.763,
2012-01,0.767,
2012-04,0.758,
2012-07,0.742,
2012-10,0.694,
2013-01,0.665,
2013-04,0.661,
2013-07,0.667,
2013-10,0.685,
2014-01,0.698,
2014-04,0.690,
2014-07,0.901,
