"",BBFN1.M.DE.N.1.A.TR.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TR.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:41,
1994-07,0.741,
1994-08,0.752,
1994-09,0.782,
1994-10,0.789,
1994-11,0.780,
1994-12,0.750,
1995-01,0.746,
1995-02,0.761,
1995-03,0.812,
1995-04,0.834,
1995-05,0.847,
1995-06,0.854,
1995-07,0.860,
1995-08,0.896,
1995-09,0.940,
1995-10,0.977,
1995-11,0.979,
1995-12,0.893,
1996-01,0.885,
1996-02,0.931,
1996-03,0.956,
1996-04,0.959,
1996-05,1.008,
1996-06,1.090,
1996-07,1.120,
1996-08,1.066,
1996-09,1.074,
1996-10,1.060,
1996-11,1.094,
1996-12,1.003,
1997-01,0.991,
1997-02,1.018,
1997-03,1.033,
1997-04,1.102,
1997-05,1.112,
1997-06,1.140,
1997-07,1.145,
1997-08,1.167,
1997-09,1.226,
1997-10,1.315,
1997-11,1.371,
1997-12,1.273,
1998-01,1.246,
1998-02,1.344,
1998-03,1.335,
1998-04,1.346,
1998-05,1.348,
1998-06,1.359,
1998-07,1.319,
1998-08,1.289,
1998-09,1.304,
1998-10,1.319,
1998-11,1.376,
1998-12,1.327,
1999-01,1.258,
1999-02,1.248,
1999-03,1.260,
1999-04,1.179,
1999-05,1.212,
1999-06,1.260,
1999-07,1.325,
1999-08,1.316,
1999-09,1.371,
1999-10,1.458,
1999-11,1.485,
1999-12,1.396,
2000-01,1.447,
2000-02,1.476,
2000-03,1.577,
2000-04,1.559,
2000-05,1.654,
2000-06,1.698,
2000-07,1.787,
2000-08,1.778,
2000-09,1.802,
2000-10,1.805,
2000-11,1.901,
2000-12,1.963,
2001-01,1.942,
2001-02,1.902,
2001-03,1.915,
2001-04,2.032,
2001-05,1.870,
2001-06,1.832,
2001-07,1.789,
2001-08,1.749,
2001-09,1.825,
2001-10,1.722,
2001-11,1.660,
2001-12,1.612,
2002-01,1.514,
2002-02,1.547,
2002-03,1.508,
2002-04,1.480,
2002-05,1.462,
2002-06,1.520,
2002-07,1.538,
2002-08,1.561,
2002-09,1.598,
2002-10,1.622,
2002-11,1.637,
2002-12,1.461,
2003-01,1.481,
2003-02,1.545,
2003-03,1.552,
2003-04,1.619,
2003-05,1.510,
2003-06,1.605,
2003-07,1.841,
2003-08,1.818,
2003-09,1.698,
2003-10,1.679,
2003-11,1.784,
2003-12,1.692,
2004-01,1.617,
2004-02,1.716,
2004-03,1.963,
2004-04,2.014,
2004-05,2.102,
2004-06,1.991,
2004-07,2.125,
2004-08,1.935,
2004-09,2.014,
2004-10,2.051,
2004-11,2.015,
2004-12,1.660,
2005-01,1.558,
2005-02,1.576,
2005-03,1.664,
2005-04,1.656,
2005-05,1.666,
2005-06,1.703,
2005-07,1.704,
2005-08,1.676,
2005-09,1.777,
2005-10,1.735,
2005-11,1.819,
2005-12,1.745,
2006-01,1.752,
2006-02,1.758,
2006-03,1.781,
2006-04,1.802,
2006-05,1.900,
2006-06,1.910,
2006-07,1.816,
2006-08,1.803,
2006-09,1.843,
2006-10,1.850,
2006-11,1.906,
2006-12,1.679,
2007-01,1.659,
2007-02,1.723,
2007-03,1.805,
2007-04,1.906,
2007-05,1.937,
2007-06,1.994,
2007-07,2.014,
2007-08,1.932,
2007-09,1.929,
2007-10,1.911,
2007-11,1.995,
2007-12,1.771,
2008-01,1.714,
2008-02,1.905,
2008-03,1.897,
2008-04,2.022,
2008-05,2.025,
2008-06,2.066,
2008-07,1.853,
2008-08,1.790,
2008-09,1.899,
2008-10,1.919,
2008-11,1.850,
2008-12,1.674,
2009-01,1.674,
2009-02,1.612,
2009-03,1.540,
2009-04,1.554,
2009-05,1.490,
2009-06,1.536,
2009-07,1.615,
2009-08,1.587,
2009-09,1.535,
2009-10,1.547,
2009-11,1.536,
2009-12,1.421,
2010-01,1.447,
2010-02,1.475,
2010-03,1.537,
2010-04,1.539,
2010-05,1.531,
2010-06,1.607,
2010-07,1.822,
2010-08,1.772,
2010-09,1.830,
2010-10,1.742,
2010-11,1.795,
2010-12,1.676,
2011-01,1.641,
2011-02,1.720,
2011-03,1.758,
2011-04,1.743,
2011-05,1.814,
2011-06,1.776,
2011-07,1.806,
2011-08,1.921,
2011-09,1.982,
2011-10,1.907,
2011-11,1.853,
2011-12,1.716,
2012-01,1.763,
2012-02,1.794,
2012-03,1.834,
2012-04,1.860,
2012-05,1.810,
2012-06,1.958,
2012-07,1.924,
2012-08,1.873,
2012-09,1.822,
2012-10,2.018,
2012-11,1.879,
2012-12,1.639,
2013-01,1.733,
2013-02,1.794,
2013-03,1.818,
2013-04,1.815,
2013-05,1.764,
2013-06,1.851,
2013-07,1.716,
2013-08,1.750,
2013-09,1.886,
2013-10,1.980,
2013-11,2.072,
2013-12,1.849,
2014-01,1.848,
2014-02,1.876,
2014-03,1.988,
2014-04,1.964,
2014-05,1.919,
2014-06,1.978,
2014-07,2.009,
2014-08,1.898,
2014-09,2.019,
2014-10,2.011,
2014-11,2.026,
2014-12,1.868,
