"",BBK01.OEAH68Q,BBK01.OEAH68Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:21,
2002-01,11.505,
2002-04,11.250,
2002-07,11.206,
2002-10,11.542,
2003-01,11.684,
2003-04,11.656,
2003-07,11.795,
2003-10,11.905,
2004-01,11.822,
2004-04,11.616,
2004-07,11.617,
2004-10,11.741,
2005-01,13.261,
2005-04,13.141,
2005-07,13.124,
2005-10,13.267,
2006-01,13.225,
2006-04,13.086,
2006-07,12.814,
2006-10,12.638,
2007-01,12.371,
2007-04,12.025,
2007-07,11.712,
2007-10,11.685,
2008-01,11.519,
2008-04,11.355,
2008-07,11.086,
2008-10,11.311,
2009-01,11.807,
2009-04,12.207,
2009-07,12.548,
2009-10,13.068,
2010-01,13.501,
2010-04,13.583,
2010-07,13.762,
2010-10,14.072,
2011-01,14.159,
2011-04,13.966,
2011-07,13.930,
2011-10,14.122,
2012-01,14.343,
2012-04,14.322,
2012-07,14.377,
2012-10,14.741,
2013-01,14.838,
2013-04,14.952,
2013-07,14.964,
2013-10,15.092,
2014-01,15.098,
2014-04,14.927,
2014-07,14.866,
