"",BBK01.OEAH89K,BBK01.OEAH89K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:00,
2002-01,1.067,
2002-04,1.031,
2002-07,1.025,
2002-10,0.991,
2003-01,1.023,
2003-04,0.983,
2003-07,1.091,
2003-10,1.023,
2004-01,0.959,
2004-04,0.888,
2004-07,1.161,
2004-10,0.900,
2005-01,0.988,
2005-04,2.228,
2005-07,2.207,
2005-10,2.205,
2006-01,2.447,
2006-04,2.486,
2006-07,0.895,
2006-10,0.878,
2007-01,0.829,
2007-04,0.876,
2007-07,0.968,
2007-10,0.834,
2008-01,0.826,
2008-04,0.827,
2008-07,0.899,
2008-10,0.917,
2009-01,0.428,
2009-04,0.407,
2009-07,0.386,
2009-10,0.244,
2010-01,0.211,
2010-04,0.203,
2010-07,0.199,
2010-10,0.208,
2011-01,0.201,
2011-04,0.214,
2011-07,0.203,
2011-10,0.180,
2012-01,0.144,
2012-04,0.125,
2012-07,0.113,
2012-10,0.125,
2013-01,0.114,
2013-04,0.098,
2013-07,1.614,
2013-10,1.545,
2014-01,1.534,
2014-04,1.532,
2014-07,1.503,
