"",BBK01.OEAO05S,BBK01.OEAO05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:27,
2002-01,0.019,
2002-04,0.011,
2002-07,0.015,
2002-10,0.224,
2003-01,0.014,
2003-04,0.011,
2003-07,0.013,
2003-10,0.193,
2004-01,0.010,
2004-04,0.007,
2004-07,0.008,
2004-10,0.172,
2005-01,0.006,
2005-04,0.004,
2005-07,0.011,
2005-10,0.177,
2006-01,0.007,
2006-04,0.005,
2006-07,0.006,
2006-10,0.182,
2007-01,0.008,
2007-04,0.005,
2007-07,0.011,
2007-10,0.204,
2008-01,0.020,
2008-04,0.014,
2008-07,0.021,
2008-10,0.223,
2009-01,0.024,
2009-04,0.016,
2009-07,0.021,
2009-10,0.208,
2010-01,0.012,
2010-04,0.005,
2010-07,0.007,
2010-10,0.194,
2011-01,0.014,
2011-04,0.010,
2011-07,0.014,
2011-10,0.154,
2012-01,0.016,
2012-04,0.011,
2012-07,0.018,
2012-10,0.143,
2013-01,0.017,
2013-04,0.011,
2013-07,0.012,
2013-10,0.099,
2014-01,0.015,
2014-04,0.010,
2014-07,0.013,
