"",BBK01.OEXI06L,BBK01.OEXI06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:02,
2002-01,1.040,
2002-04,0.976,
2002-07,1.006,
2002-10,1.087,
2003-01,1.072,
2003-04,0.965,
2003-07,0.943,
2003-10,0.948,
2004-01,1.140,
2004-04,1.435,
2004-07,1.410,
2004-10,1.412,
2005-01,1.349,
2005-04,1.330,
2005-07,1.328,
2005-10,1.381,
2006-01,1.398,
2006-04,1.454,
2006-07,1.613,
2006-10,1.769,
2007-01,1.920,
2007-04,1.883,
2007-07,1.811,
2007-10,1.771,
2008-01,1.692,
2008-04,1.693,
2008-07,1.947,
2008-10,2.116,
2009-01,1.959,
2009-04,1.908,
2009-07,1.805,
2009-10,1.642,
2010-01,1.673,
2010-04,1.865,
2010-07,1.825,
2010-10,1.927,
2011-01,2.013,
2011-04,2.159,
2011-07,2.193,
2011-10,2.546,
2012-01,2.566,
2012-04,2.741,
2012-07,2.953,
2012-10,3.172,
2013-01,3.222,
2013-04,3.226,
2013-07,3.234,
2013-10,3.392,
2014-01,3.564,
2014-04,3.758,
2014-07,3.940,
