"",BBK01.CEFZI0,BBK01.CEFZI0_FLAGS
"","Other accounts payable, excluding trade credits and advances                                           debtor: Households (incl. NPISH) creditor: Total",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:32:01,
1999-01,14.9,
1999-04,14.7,
1999-07,15.2,
1999-10,15.6,
2000-01,16.9,
2000-04,17.0,
2000-07,17.2,
2000-10,14.0,
2001-01,15.4,
2001-04,15.4,
2001-07,15.6,
2001-10,14.1,
2002-01,15.9,
2002-04,15.8,
2002-07,16.1,
2002-10,14.5,
2003-01,15.9,
2003-04,15.7,
2003-07,16.0,
2003-10,15.1,
2004-01,16.8,
2004-04,16.8,
2004-07,16.4,
2004-10,17.0,
2005-01,18.1,
2005-04,16.7,
2005-07,16.6,
2005-10,13.8,
2006-01,14.2,
2006-04,12.9,
2006-07,12.8,
2006-10,10.5,
2007-01,12.2,
2007-04,12.1,
2007-07,12.2,
2007-10,10.1,
2008-01,11.3,
2008-04,10.9,
2008-07,11.1,
2008-10,10.6,
2009-01,11.9,
2009-04,12.1,
2009-07,11.9,
2009-10,11.4,
2010-01,12.8,
2010-04,12.3,
2010-07,12.6,
2010-10,11.3,
2011-01,13.2,
2011-04,12.7,
2011-07,13.2,
2011-10,13.1,
2012-01,15.0,
2012-04,14.7,
2012-07,14.7,
2012-10,14.9,
2013-01,17.1,
2013-04,16.1,
2013-07,16.2,
2013-10,14.9,
2014-01,16.1,
2014-04,15.9,
2014-07,16.6,
