"",BBK01.OEAD08U,BBK01.OEAD08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:32,
2002-01,0.397,
2002-04,0.395,
2002-07,0.398,
2002-10,0.384,
2003-01,0.373,
2003-04,0.364,
2003-07,0.352,
2003-10,0.345,
2004-01,0.344,
2004-04,0.323,
2004-07,0.388,
2004-10,0.368,
2005-01,0.350,
2005-04,0.338,
2005-07,0.336,
2005-10,0.317,
2006-01,0.313,
2006-04,0.310,
2006-07,0.309,
2006-10,0.299,
2007-01,0.283,
2007-04,0.273,
2007-07,0.282,
2007-10,0.269,
2008-01,0.298,
2008-04,0.289,
2008-07,0.274,
2008-10,0.212,
2009-01,0.245,
2009-04,0.227,
2009-07,0.221,
2009-10,0.219,
2010-01,0.211,
2010-04,0.215,
2010-07,0.220,
2010-10,0.218,
2011-01,0.215,
2011-04,0.217,
2011-07,0.220,
2011-10,0.203,
2012-01,0.218,
2012-04,0.225,
2012-07,0.236,
2012-10,0.229,
2013-01,0.244,
2013-04,0.242,
2013-07,0.246,
2013-10,0.251,
2014-01,0.243,
2014-04,0.248,
2014-07,0.242,
