"",BBK01.SUD123S,BBK01.SUD123S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Revolving loans and overdrafts to non-financial corporations,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:00,
2000-01,7.6871,Estimated value
2000-02,7.8011,Estimated value
2000-03,7.7511,Estimated value
2000-04,7.7772,Estimated value
2000-05,7.9942,Estimated value
2000-06,8.0629,Estimated value
2000-07,8.2258,Estimated value
2000-08,8.2546,Estimated value
2000-09,8.2835,Estimated value
2000-10,8.3279,Estimated value
2000-11,8.3296,Estimated value
2000-12,8.1141,Estimated value
2001-01,7.9520,Estimated value
2001-02,7.9063,Estimated value
2001-03,7.8198,Estimated value
2001-04,7.8107,Estimated value
2001-05,7.8439,Estimated value
2001-06,7.8578,Estimated value
2001-07,7.8440,Estimated value
2001-08,7.7288,Estimated value
2001-09,7.5996,Estimated value
2001-10,7.4327,Estimated value
2001-11,7.2869,Estimated value
2001-12,7.4340,Estimated value
2002-01,7.5068,Estimated value
2002-02,7.6069,Estimated value
2002-03,7.7676,Estimated value
2002-04,7.8512,Estimated value
2002-05,7.8512,Estimated value
2002-06,7.7860,Estimated value
2002-07,7.6631,Estimated value
2002-08,7.4462,Estimated value
2002-09,7.3036,Estimated value
2002-10,7.2414,Estimated value
2002-11,7.1517,Estimated value
2002-12,7.0927,Estimated value
