"",BBK01.OECO05T,BBK01.OECO05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:46,
2002-01,0.002,
2002-04,0.001,
2002-07,0.001,
2002-10,0.009,
2003-01,0.001,
2003-04,0.001,
2003-07,0.001,
2003-10,0.008,
2004-01,0.001,
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,0.011,
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.001,
2005-10,0.020,
2006-01,0.002,
2006-04,-,Nothing exists
2006-07,-,Nothing exists
2006-10,0.018,
2007-01,-,Nothing exists
2007-04,-,Nothing exists
2007-07,-,Nothing exists
2007-10,0.021,
2008-01,0.001,
2008-04,0.001,
2008-07,0.002,
2008-10,0.020,
2009-01,0.001,
2009-04,0.001,
2009-07,0.002,
2009-10,0.019,
2010-01,0.001,
2010-04,-,Nothing exists
2010-07,-,Nothing exists
2010-10,0.010,
2011-01,-,Nothing exists
2011-04,-,Nothing exists
2011-07,-,Nothing exists
2011-10,0.001,
2012-01,-,Nothing exists
2012-04,-,Nothing exists
2012-07,-,Nothing exists
2012-10,0.010,
2013-01,0.002,
2013-04,-,Nothing exists
2013-07,-,Nothing exists
2013-10,0.006,
2014-01,-,Nothing exists
2014-04,-,Nothing exists
2014-07,-,Nothing exists
