"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00122.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00122.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Monetary financial institutes (MFIs),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:46,
2009-09,161212,
2009-10,159379,
2009-11,162166,
2009-12,161578,
2010-01,162773,
2010-02,163185,
2010-03,164835,
2010-04,163757,
2010-05,163077,
2010-06,164008,
2010-07,164820,
2010-08,169147,
2010-09,168033,
2010-10,170054,
2010-11,167794,
2010-12,166743,
2011-01,166358,
2011-02,168924,
2011-03,170695,
2011-04,170482,
2011-05,172390,
2011-06,172550,
2011-07,173877,
2011-08,173376,
2011-09,171741,
2011-10,170450,
2011-11,167056,
2011-12,170499,
2012-01,175230,
2012-02,176406,
2012-03,178196,
2012-04,177005,
2012-05,177806,
2012-06,177803,
2012-07,180758,
2012-08,181624,
2012-09,181204,
2012-10,179927,
2012-11,179000,
2012-12,179681,
2013-01,176646,
2013-02,177546,
2013-03,177443,
2013-04,181187,
2013-05,180329,
2013-06,176057,
2013-07,175876,
2013-08,175661,
2013-09,175452,
2013-10,175883,
2013-11,176333,
2013-12,174323,
2014-01,175429,
2014-02,175506,
2014-03,177286,
2014-04,177073,
2014-05,179425,
2014-06,181127,
2014-07,182298,
2014-08,184171,
2014-09,185843,
2014-10,188319,
2014-11,187055,
