"",BBSF2.M.1.S.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.IMM01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Real estate funds / Deposits and loan claims,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:40,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,156,
1993-05,163,
1993-06,153,
1993-07,155,
1993-08,158,
1993-09,157,
1993-10,164,
1993-11,159,
1993-12,228,
1994-01,221,
1994-02,224,
1994-03,230,
1994-04,210,
1994-05,217,
1994-06,218,
1994-07,225,
1994-08,242,
1994-09,248,
1994-10,238,
1994-11,223,
1994-12,183,
1995-01,189,
1995-02,203,
1995-03,199,
1995-04,188,
1995-05,199,
1995-06,217,
1995-07,220,
1995-08,262,
1995-09,261,
1995-10,282,
1995-11,273,
1995-12,302,
1996-01,296,
1996-02,296,
1996-03,300,
1996-04,304,
1996-05,317,
1996-06,306,
1996-07,283,
1996-08,286,
1996-09,263,
1996-10,315,
1996-11,309,
1996-12,275,
1997-01,269,
1997-02,295,
1997-03,480,
1997-04,315,
1997-05,307,
1997-06,345,
1997-07,315,
1997-08,314,
1997-09,328,
1997-10,311,
1997-11,277,
1997-12,269,
1998-01,353,
1998-02,330,
1998-03,331,
1998-04,355,
1998-05,293,
1998-06,323,
1998-07,284,
1998-08,300,
1998-09,270,
1998-10,254,
1998-11,231,
1998-12,441,
1999-01,320,
1999-02,207,
1999-03,208,
1999-04,214,
1999-05,233,
1999-06,216,
1999-07,301,
1999-08,323,
1999-09,593,
1999-10,612,
1999-11,523,
1999-12,702,
2000-01,581,
2000-02,533,
2000-03,491,
2000-04,471,
2000-05,567,
2000-06,561,
2000-07,562,
2000-08,574,
2000-09,599,
2000-10,664,
2000-11,647,
2000-12,698,
2001-01,713,
2001-02,740,
2001-03,705,
2001-04,771,
2001-05,727,
2001-06,761,
2001-07,820,
2001-08,873,
2001-09,914,
2001-10,877,
2001-11,954,
2001-12,985,
2002-01,950,
2002-02,975,
2002-03,1053,
2002-04,996,
2002-05,1000,
2002-06,1031,
2002-07,1079,
2002-08,1168,
2002-09,1183,
2002-10,1235,
2002-11,1087,
2002-12,1045,
2003-01,1051,
2003-02,1062,
2003-03,1050,
2003-04,1118,
2003-05,1158,
2003-06,1167,
2003-07,1167,
2003-08,1169,
2003-09,1197,
2003-10,1172,
2003-11,1164,
2003-12,1075,
2004-01,971,
2004-02,1012,
2004-03,1086,
2004-04,1087,
2004-05,1038,
2004-06,1251,
2004-07,1359,
2004-08,1294,
2004-09,1243,
2004-10,1359,
2004-11,1421,
2004-12,1343,
2005-01,1378,
2005-02,1097,
2005-03,1100,
2005-04,1154,
2005-05,1394,
2005-06,1465,
2005-07,1396,
2005-08,1377,
2005-09,1327,
2005-10,1250,
2005-11,1332,
2005-12,1233,
2006-01,1347,
2006-02,1364,
2006-03,1337,
2006-04,1183,
2006-05,1276,
2006-06,1380,
2006-07,1390,
2006-08,1228,
2006-09,1391,
2006-10,1453,
2006-11,1598,
2006-12,1746,
2007-01,1658,
2007-02,1584,
2007-03,1482,
2007-04,1624,
2007-05,1705,
2007-06,1742,
2007-07,1956,
2007-08,2135,
2007-09,1848,
2007-10,2191,
2007-11,2643,
2007-12,2172,
2008-01,2303,
2008-02,2759,
2008-03,1902,
2008-04,1814,
2008-05,1819,
2008-06,1799,
2008-07,1870,
2008-08,1929,
2008-09,1885,
2008-10,1931,
2008-11,1934,
2008-12,1386,
2009-01,1410,
2009-02,1471,
2009-03,1472,
2009-04,1524,
2009-05,1604,
2009-06,1761,
2009-07,1647,
2009-08,1712,
2009-09,1924,
2009-10,1924,
2009-11,2074,
2009-12,1574,
2010-01,1750,
2010-02,1658,
2010-03,1775,
2010-04,1831,
2010-05,1890,
2010-06,1862,
2010-07,2183,
2010-08,2156,
2010-09,2273,
2010-10,2352,
2010-11,2435,
2010-12,2045,
2011-01,2136,
2011-02,2130,
2011-03,2078,
2011-04,2036,
2011-05,2255,
2011-06,2262,
2011-07,2368,
2011-08,2331,
2011-09,2402,
2011-10,2570,
2011-11,2611,
2011-12,2264,
2012-01,2120,
2012-02,2314,
2012-03,2025,
2012-04,2136,
2012-05,2241,
2012-06,2324,
2012-07,2389,
2012-08,2538,
2012-09,2712,
2012-10,2946,
2012-11,2829,
2012-12,2623,
2013-01,2496,
2013-02,2584,
2013-03,2616,
2013-04,2403,
2013-05,2467,
2013-06,2626,
2013-07,2689,
2013-08,2840,
2013-09,2944,
2013-10,3103,
2013-11,3739,
2013-12,2852,
2014-01,2818,
2014-02,2916,
2014-03,3081,
2014-04,3287,
2014-05,3246,
2014-06,3438,
2014-07,3672,
2014-08,3470,
2014-09,3866,
2014-10,3884,
2014-11,4033,
