"",BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.W03100.S1.S1.T.A.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Portfolio investment / Net / Emerging market economies and developing countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:49:28,
1991-01,82.544,
1991-04,233.241,
1991-07,105.041,
1991-10,177.911,
1992-01,117.611,
1992-04,67.905,
1992-07,-119.297,
1992-10,-292.511,
1993-01,-448.296,
1993-04,5.860,
1993-07,-565.633,
1993-10,-273.262,
1994-01,1035.577,
1994-04,599.971,
1994-07,1066.943,
1994-10,-57.507,
1995-01,550.743,
1995-04,328.865,
1995-07,529.519,
1995-10,1299.382,
1996-01,726.613,
1996-04,1305.326,
1996-07,282.073,
1996-10,1370.394,
1997-01,1813.992,
1997-04,668.322,
1997-07,289.552,
1997-10,1531.633,
1998-01,1349.114,
1998-04,3976.949,
1998-07,1024.091,
1998-10,-798.602,
1999-01,1810.700,
1999-04,2328.838,
1999-07,1458.074,
1999-10,622.727,
2000-01,3767.315,
2000-04,598.367,
2000-07,2659.710,
2000-10,2078.755,
2001-01,1401.195,
2001-04,1754.887,
2001-07,-1143.241,
2001-10,-297.188,
2002-01,208.878,
2002-04,3224.949,
2002-07,659.081,
2002-10,-938.520,
2003-01,280.804,
2003-04,1630.551,
2003-07,-4264.672,
2003-10,-2855.200,
2004-01,1752.534,
2004-04,1110.376,
2004-07,1304.617,
2004-10,630.464,
2005-01,1145.117,
2005-04,1122.939,
2005-07,1675.794,
2005-10,368.735,
2006-01,6329.008,
2006-04,1245.267,
2006-07,589.215,
2006-10,2289.259,
2007-01,1229.739,
2007-04,-535.387,
2007-07,1582.752,
2007-10,2856.021,
2008-01,-2342.572,
2008-04,-71.947,
2008-07,740.537,
2008-10,-4524.870,
2009-01,-1396.271,
2009-04,-427.238,
2009-07,70.345,
2009-10,187.851,
2010-01,-747.018,
2010-04,2601.239,
2010-07,5727.535,
2010-10,1737.784,
2011-01,882.628,
2011-04,1495.489,
2011-07,-1220.594,
2011-10,2597.499,
2012-01,-1814.122,
2012-04,2142.518,
2012-07,3076.384,
2012-10,3370.030,
2013-01,2927.214,
2013-04,4530.228,
2013-07,4952.408,
2013-10,4181.244,
2014-01,2438.931,Provisional value
2014-04,5019.761,Provisional value
2014-07,1830.276,Provisional value
2014-10,4092.982,Provisional value
