"",BBK01.OEXL08L,BBK01.OEXL08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:34,
2002-01,1.977,
2002-04,2.108,
2002-07,3.034,
2002-10,3.849,
2003-01,4.386,
2003-04,4.446,
2003-07,4.440,
2003-10,4.417,
2004-01,4.422,
2004-04,4.379,
2004-07,4.414,
2004-10,4.438,
2005-01,4.464,
2005-04,4.466,
2005-07,4.407,
2005-10,4.470,
2006-01,4.500,
2006-04,4.525,
2006-07,4.656,
2006-10,4.699,
2007-01,4.656,
2007-04,4.393,
2007-07,3.671,
2007-10,3.055,
2008-01,2.624,
2008-04,2.505,
2008-07,2.505,
2008-10,2.415,
2009-01,2.662,
2009-04,2.853,
2009-07,3.757,
2009-10,3.940,
2010-01,4.002,
2010-04,3.181,
2010-07,3.216,
2010-10,3.674,
2011-01,3.640,
2011-04,2.623,
2011-07,2.544,
2011-10,2.577,
2012-01,2.567,
2012-04,2.575,
2012-07,2.547,
2012-10,2.563,
2013-01,2.688,
2013-04,2.808,
2013-07,2.989,
2013-10,3.161,
2014-01,3.245,
2014-04,3.319,
2014-07,3.357,
