"",BBK01.OEYB12K,BBK01.OEYB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:00,
2002-01,19.459,
2002-04,19.722,
2002-07,20.110,
2002-10,19.743,
2003-01,19.807,
2003-04,19.531,
2003-07,20.033,
2003-10,20.192,
2004-01,20.805,
2004-04,26.632,
2004-07,27.271,
2004-10,27.989,
2005-01,28.254,
2005-04,29.346,
2005-07,29.558,
2005-10,30.359,
2006-01,31.205,
2006-04,31.903,
2006-07,31.915,
2006-10,31.175,
2007-01,29.760,
2007-04,29.794,
2007-07,28.998,
2007-10,28.065,
2008-01,30.945,
2008-04,31.668,
2008-07,32.888,
2008-10,33.662,
2009-01,33.809,
2009-04,33.538,
2009-07,32.211,
2009-10,29.003,
2010-01,29.294,
2010-04,31.091,
2010-07,32.721,
2010-10,33.180,
2011-01,32.028,
2011-04,31.944,
2011-07,35.874,
2011-10,36.326,
2012-01,35.548,
2012-04,32.437,
2012-07,32.563,
2012-10,28.797,
2013-01,28.437,
2013-04,28.943,
2013-07,28.909,
2013-10,24.261,
2014-01,24.156,
2014-04,24.760,
2014-07,24.795,
