"",BBK01.OEHM08H,BBK01.OEHM08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:09,
2002-01,0.315,
2002-04,0.287,
2002-07,0.280,
2002-10,0.287,
2003-01,0.280,
2003-04,0.281,
2003-07,0.269,
2003-10,0.283,
2004-01,0.278,
2004-04,0.294,
2004-07,0.290,
2004-10,0.288,
2005-01,0.291,
2005-04,0.309,
2005-07,0.318,
2005-10,0.361,
2006-01,0.362,
2006-04,0.344,
2006-07,0.329,
2006-10,0.313,
2007-01,0.282,
2007-04,0.261,
2007-07,0.252,
2007-10,0.193,
2008-01,0.161,
2008-04,0.136,
2008-07,0.115,
2008-10,0.115,
2009-01,0.120,
2009-04,0.143,
2009-07,0.179,
2009-10,0.202,
2010-01,0.252,
2010-04,0.297,
2010-07,0.344,
2010-10,0.384,
2011-01,0.388,
2011-04,0.389,
2011-07,0.377,
2011-10,0.365,
2012-01,0.341,
2012-04,0.334,
2012-07,0.335,
2012-10,0.339,
2013-01,0.350,
2013-04,0.350,
2013-07,0.338,
2013-10,0.333,
2014-01,0.319,
2014-04,0.307,
2014-07,0.296,
