"",BBSF2.M.1.S.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Equity funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:21,
2009-09,152,
2009-10,108,
2009-11,80,
2009-12,182,
2010-01,244,
2010-02,392,
2010-03,280,
2010-04,268,
2010-05,257,
2010-06,369,
2010-07,293,
2010-08,298,
2010-09,217,
2010-10,126,
2010-11,162,
2010-12,862,
2011-01,958,
2011-02,975,
2011-03,911,
2011-04,1117,
2011-05,1221,
2011-06,1367,
2011-07,1431,
2011-08,1015,
2011-09,758,
2011-10,459,
2011-11,656,
2011-12,646,
2012-01,615,
2012-02,412,
2012-03,429,
2012-04,137,
2012-05,143,
2012-06,148,
2012-07,148,
2012-08,292,
2012-09,284,
2012-10,147,
2012-11,145,
2012-12,78,
2013-01,78,
2013-02,53,
2013-03,23,
2013-04,2,
2013-05,2,
2013-06,107,
2013-07,97,
2013-08,95,
2013-09,129,
2013-10,151,
2013-11,62,
2013-12,181,
2014-01,182,
2014-02,182,
2014-03,190,
2014-04,151,
2014-05,150,
2014-06,80,
2014-07,88,
2014-08,44,
2014-09,61,
2014-10,29,
2014-11,122,
