"",BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z06.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.L.B000.Z06.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Foreign currency / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:05:46,
1971-12,2.116,
1972-01,2.111,
1972-02,2.199,
1972-03,2.400,
1972-04,2.382,
1972-05,2.441,
1972-06,2.449,
1972-07,2.444,
1972-08,2.425,
1972-09,2.507,
1972-10,2.456,
1972-11,2.411,
1972-12,2.238,
1973-01,2.269,
1973-02,2.312,
1973-03,2.281,
1973-04,2.281,
1973-05,2.274,
1973-06,2.264,
1973-07,2.249,
1973-08,2.270,
1973-09,2.279,
1973-10,2.274,
1973-11,2.306,
1973-12,2.345,
1974-01,2.366,
1974-02,2.401,
1974-03,2.395,
1974-04,2.486,
1974-05,2.474,
1974-06,2.455,
1974-07,2.398,
1974-08,2.415,
1974-09,2.404,
1974-10,2.402,
1974-11,2.434,
1974-12,2.446,
1975-01,2.448,
1975-02,2.536,
1975-03,2.524,
1975-04,2.539,
1975-05,2.493,
1975-06,2.470,
1975-07,2.492,
1975-08,2.516,
1975-09,2.485,
1975-10,2.442,
1975-11,2.451,
1975-12,2.405,
1976-01,2.609,
1976-02,2.697,
1976-03,2.736,
1976-04,2.752,
1976-05,2.750,
1976-06,2.663,
1976-07,2.699,
1976-08,2.836,
1976-09,2.762,
1976-10,2.524,
1976-11,2.529,
1976-12,2.492,
1977-01,2.516,
1977-02,2.489,
1977-03,2.439,
1977-04,2.435,
1977-05,2.419,
1977-06,2.506,
1977-07,2.491,
1977-08,2.468,
1977-09,2.440,
1977-10,2.416,
1977-11,2.412,
1977-12,2.370,
1978-01,2.427,
1978-02,2.401,
1978-03,2.441,
1978-04,2.430,
1978-05,2.449,
1978-06,2.471,
1978-07,2.527,
1978-08,2.506,
1978-09,2.605,
1978-10,2.550,
1978-11,2.508,
1978-12,2.534,
1979-01,2.545,
1979-02,2.608,
1979-03,2.592,
1979-04,2.641,
1979-05,2.745,
1979-06,2.753,
1979-07,2.890,
1979-08,3.058,
1979-09,3.040,
1979-10,3.115,
1979-11,3.127,
1979-12,3.023,
1980-01,3.102,
1980-02,3.145,
1980-03,3.155,
1980-04,3.173,
1980-05,3.214,
1980-06,3.291,
1980-07,3.337,
1980-08,3.364,
1980-09,3.444,
1980-10,3.467,
1980-11,3.531,
1980-12,3.555,
1981-01,3.629,
1981-02,3.566,
1981-03,3.674,
1981-04,3.706,
1981-05,3.858,
1981-06,4.029,
1981-07,4.088,
1981-08,4.239,
1981-09,4.309,
1981-10,4.430,
1981-11,4.382,
1981-12,4.429,
1982-01,4.570,
1982-02,4.673,
1982-03,4.644,
1982-04,4.580,
1982-05,4.559,
1982-06,4.508,
1982-07,4.612,
1982-08,4.644,
1982-09,4.506,
1982-10,4.480,
1982-11,4.448,
1982-12,4.495,
1983-01,4.474,
1983-02,4.667,
1983-03,4.701,
1983-04,4.703,
1983-05,4.719,
1983-06,4.800,
1983-07,4.823,
1983-08,4.895,
1983-09,4.987,
1983-10,5.022,
1983-11,5.007,
1983-12,5.107,
1984-01,5.131,
1984-02,5.039,
1984-03,4.976,
1984-04,4.934,
1984-05,5.017,
1984-06,4.895,
1984-07,4.834,
1984-08,4.815,
1984-09,4.799,
1984-10,4.848,
1984-11,4.836,
1984-12,4.795,
1985-01,4.803,
1985-02,4.809,
1985-03,4.883,
1985-04,4.891,
1985-05,4.827,
1985-06,4.612,
1985-07,4.577,
1985-08,4.586,
1985-09,4.566,
1985-10,4.535,
1985-11,4.518,
1985-12,4.532,
1986-01,4.405,
1986-02,4.312,
1986-03,4.320,
1986-04,4.159,
1986-05,4.124,
1986-06,4.050,
1986-07,3.997,
1986-08,3.968,
1986-09,4.029,
1986-10,4.105,
1986-11,3.851,
1986-12,3.722,
1987-01,3.640,
1987-02,3.584,
1987-03,3.557,
1987-04,3.517,
1987-05,3.515,
1987-06,3.500,
1987-07,3.529,
1987-08,3.467,
1987-09,3.411,
1987-10,3.350,
1987-11,3.364,
1987-12,3.381,
1988-01,3.342,
1988-02,3.320,
1988-03,3.300,
1988-04,3.291,
1988-05,3.317,
1988-06,3.656,
1988-07,3.657,
1988-08,3.696,
1988-09,3.238,
1988-10,3.207,
1988-11,3.191,
1988-12,2.963,
1989-01,2.970,
1989-02,2.835,
1989-03,2.686,
1989-04,2.722,
1989-05,2.648,
1989-06,2.532,
1989-07,2.396,
1989-08,2.389,
1989-09,2.286,
1989-10,2.251,
1989-11,2.223,
1989-12,2.143,
1990-01,2.092,
1990-02,2.013,
1990-03,1.988,
1990-04,1.968,
1990-05,1.958,
1990-06,1.893,
1990-07,2.156,
1990-08,2.192,
1990-09,2.175,
1990-10,2.111,
1990-11,2.123,
1990-12,1.977,
1991-01,1.971,
1991-02,1.957,
1991-03,2.003,
1991-04,2.031,
1991-05,2.069,
1991-06,2.100,
1991-07,2.168,
1991-08,2.268,
1991-09,2.244,
1991-10,2.227,
1991-11,2.197,
1991-12,2.170,
1992-01,2.150,
1992-02,2.186,
1992-03,2.190,
1992-04,2.191,
1992-05,2.188,
1992-06,2.372,
1992-07,2.347,
1992-08,2.441,
1992-09,2.470,
1992-10,2.476,
1992-11,2.577,
1992-12,2.589,
1993-01,2.542,
1993-02,2.806,
1993-03,2.906,
1993-04,2.949,
1993-05,2.951,
1993-06,3.045,
1993-07,3.091,
1993-08,3.063,
1993-09,3.100,
1993-10,3.101,
1993-11,3.170,
1993-12,3.244,
1994-01,3.291,
1994-02,3.286,
1994-03,3.541,
1994-04,3.451,
1994-05,3.602,
1994-06,3.664,
1994-07,3.869,
1994-08,3.725,
1994-09,3.486,
1994-10,3.447,
