"",BBK01.OELB18N,BBK01.OELB18N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:23,
2002-01,2.331,
2002-04,2.349,
2002-07,2.472,
2002-10,2.567,
2003-01,2.360,
2003-04,2.415,
2003-07,2.438,
2003-10,2.448,
2004-01,2.253,
2004-04,2.276,
2004-07,2.292,
2004-10,2.249,
2005-01,2.138,
2005-04,2.128,
2005-07,2.171,
2005-10,2.118,
2006-01,2.001,
2006-04,1.998,
2006-07,1.972,
2006-10,1.894,
2007-01,1.828,
2007-04,1.848,
2007-07,1.763,
2007-10,1.804,
2008-01,1.776,
2008-04,1.797,
2008-07,1.799,
2008-10,1.628,
2009-01,1.563,
2009-04,1.568,
2009-07,1.576,
2009-10,1.543,
2010-01,1.481,
2010-04,1.511,
2010-07,1.542,
2010-10,1.476,
2011-01,1.454,
2011-04,1.469,
2011-07,1.463,
2011-10,1.419,
2012-01,1.405,
2012-04,1.395,
2012-07,1.437,
2012-10,1.416,
2013-01,1.384,
2013-04,1.369,
2013-07,1.430,
2013-10,1.364,
2014-01,1.344,
2014-04,1.371,
2014-07,1.383,
