"",BBK01.OEAA03P,BBK01.OEAA03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:48,
2002-01,3.708,
2002-04,3.763,
2002-07,3.730,
2002-10,3.067,
2003-01,3.186,
2003-04,3.130,
2003-07,2.856,
2003-10,2.709,
2004-01,2.554,
2004-04,2.454,
2004-07,2.560,
2004-10,2.466,
2005-01,2.531,
2005-04,2.618,
2005-07,2.669,
2005-10,2.565,
2006-01,2.607,
2006-04,2.749,
2006-07,2.526,
2006-10,2.598,
2007-01,2.454,
2007-04,2.392,
2007-07,2.387,
2007-10,2.406,
2008-01,2.414,
2008-04,2.571,
2008-07,2.446,
2008-10,2.416,
2009-01,2.411,
2009-04,2.361,
2009-07,2.308,
2009-10,2.439,
2010-01,2.530,
2010-04,2.406,
2010-07,2.251,
2010-10,2.521,
2011-01,2.652,
2011-04,2.763,
2011-07,2.432,
2011-10,2.624,
2012-01,2.741,
2012-04,2.524,
2012-07,2.471,
2012-10,2.503,
2013-01,2.560,
2013-04,2.787,
2013-07,2.880,
2013-10,2.727,
2014-01,2.753,
2014-04,2.820,
2014-07,2.746,
