"",BBDA1.M.DE.Y.IM.S.GP09IS09.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS09.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Chemicals and chemical/pharmaceutical products (new: items 20+21) / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:38,
2008-01,7.95,
2008-02,8.26,
2008-03,7.95,
2008-04,7.97,
2008-05,7.84,
2008-06,8.17,
2008-07,8.36,
2008-08,8.39,
2008-09,8.52,
2008-10,8.34,
2008-11,7.79,
2008-12,7.49,
2009-01,7.71,
2009-02,7.30,
2009-03,6.73,
2009-04,7.06,
2009-05,6.88,
2009-06,6.81,
2009-07,7.21,
2009-08,7.16,
2009-09,7.28,
2009-10,7.61,
2009-11,7.40,
2009-12,7.63,
2010-01,8.57,
2010-02,7.95,
2010-03,8.17,
2010-04,8.34,
2010-05,8.61,
2010-06,8.21,
2010-07,8.36,
2010-08,8.57,
2010-09,7.96,
2010-10,8.85,
2010-11,8.90,
2010-12,8.76,
2011-01,9.03,
2011-02,8.96,
2011-03,9.14,
2011-04,9.02,
2011-05,9.33,
2011-06,9.41,
2011-07,9.33,
2011-08,9.69,
2011-09,9.06,
2011-10,9.50,
2011-11,9.03,
2011-12,9.31,
2012-01,8.81,
2012-02,8.79,
2012-03,9.46,
2012-04,9.04,
2012-05,9.62,
2012-06,9.45,
2012-07,9.24,
2012-08,9.09,
2012-09,9.74,
2012-10,9.30,
2012-11,9.72,
2012-12,9.36,
2013-01,9.26,
2013-02,9.11,
2013-03,9.06,
2013-04,9.39,
2013-05,9.36,
2013-06,8.97,
2013-07,9.39,
2013-08,9.06,
2013-09,9.25,
2013-10,9.19,
2013-11,9.40,
2013-12,9.23,
2014-01,10.07,
2014-02,10.27,
2014-03,9.95,
2014-04,10.00,
2014-05,9.79,
2014-06,9.69,
2014-07,9.40,
2014-08,10.56,
2014-09,10.16,
2014-10,10.51,
2014-11,10.43,
2014-12,10.17,
