"",BBK01.CEFM03,BBK01.CEFM03_FLAGS
"",Currency                                                           debtor: Total           creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:34:21,
1999-01,20.8,
1999-04,21.7,
1999-07,21.8,
1999-10,25.7,
2000-01,21.5,
2000-04,21.7,
2000-07,22.3,
2000-10,24.9,
2001-01,21.6,
2001-04,21.8,
2001-07,21.5,
2001-10,21.7,
2002-01,17.2,
2002-04,14.6,
2002-07,13.7,
2002-10,18.3,
2003-01,13.3,
2003-04,13.8,
2003-07,13.8,
2003-10,17.8,
2004-01,13.2,
2004-04,13.6,
2004-07,13.7,
2004-10,15.7,
2005-01,14.1,
2005-04,14.1,
2005-07,14.5,
2005-10,15.9,
2006-01,13.9,
2006-04,14.4,
2006-07,14.8,
2006-10,17.0,
2007-01,14.1,
2007-04,14.8,
2007-07,15.0,
2007-10,18.5,
2008-01,14.9,
2008-04,14.4,
2008-07,14.4,
2008-10,18.5,
2009-01,14.6,
2009-04,15.8,
2009-07,14.6,
2009-10,18.0,
2010-01,15.2,
2010-04,14.9,
2010-07,15.6,
2010-10,17.3,
2011-01,15.2,
2011-04,16.0,
2011-07,16.2,
2011-10,17.2,
2012-01,16.2,
2012-04,16.3,
2012-07,16.8,
2012-10,20.1,
2013-01,17.8,
2013-04,16.6,
2013-07,16.2,
2013-10,19.6,
2014-01,15.4,
2014-04,15.8,
2014-07,16.2,
