"",BBK01.OEYI04K,BBK01.OEYI04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:55,
2002-01,2.589,
2002-04,2.505,
2002-07,2.296,
2002-10,2.481,
2003-01,2.551,
2003-04,2.734,
2003-07,2.670,
2003-10,2.536,
2004-01,2.263,
2004-04,2.332,
2004-07,5.138,
2004-10,0.100,
2005-01,0.067,
2005-04,0.063,
2005-07,0.052,
2005-10,0.040,
2006-01,0.035,
2006-04,0.029,
2006-07,0.020,
2006-10,0.029,
2007-01,0.022,
2007-04,0.027,
2007-07,0.747,
2007-10,0.086,
2008-01,0.107,
2008-04,0.308,
2008-07,0.400,
2008-10,0.372,
2009-01,0.310,
2009-04,0.156,
2009-07,0.130,
2009-10,0.121,
2010-01,0.114,
2010-04,0.389,
2010-07,0.488,
2010-10,0.567,
2011-01,0.317,
2011-04,0.346,
2011-07,0.261,
2011-10,0.169,
2012-01,0.171,
2012-04,0.172,
2012-07,0.183,
2012-10,0.235,
2013-01,0.313,
2013-04,0.295,
2013-07,0.287,
2013-10,0.273,
2014-01,0.300,
2014-04,0.178,
2014-07,0.159,
