"",BBSF2.M.1.P.00000.GEM01.I.F.ANZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.GEM01.I.F.ANZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Mixed securities funds / Number,
unit,STUECK (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-29 10:36:10,
1992-01,83,
1992-02,84,
1992-03,84,
1992-04,84,
1992-05,84,
1992-06,85,
1992-07,86,
1992-08,86,
1992-09,86,
1992-10,86,
1992-11,86,
1992-12,87,
1993-01,88,
1993-02,90,
1993-03,90,
1993-04,95,
1993-05,97,
1993-06,98,
1993-07,100,
1993-08,101,
1993-09,101,
1993-10,103,
1993-11,106,
1993-12,107,
1994-01,109,
1994-02,110,
1994-03,111,
1994-04,110,
1994-05,110,
1994-06,110,
1994-07,110,
1994-08,111,
1994-09,111,
1994-10,111,
1994-11,111,
1994-12,112,
1995-01,113,
1995-02,113,
1995-03,114,
1995-04,115,
1995-05,118,
1995-06,119,
1995-07,121,
1995-08,124,
1995-09,125,
1995-10,127,
1995-11,127,
1995-12,130,
1996-01,130,
1996-02,130,
1996-03,130,
1996-04,131,
1996-05,131,
1996-06,132,
1996-07,131,
1996-08,132,
1996-09,131,
1996-10,134,
1996-11,134,
1996-12,135,
1997-01,136,
1997-02,136,
1997-03,137,
1997-04,140,
1997-05,144,
1997-06,146,
1997-07,148,
1997-08,147,
1997-09,147,
1997-10,149,
1997-11,150,
1997-12,153,
1998-01,155,
1998-02,158,
1998-03,163,
1998-04,163,
1998-05,163,
1998-06,162,
1998-07,158,
1998-08,158,
1998-09,159,
1998-10,159,
1998-11,159,
1998-12,160,
1999-01,163,
1999-02,163,
1999-03,164,
1999-04,166,
1999-05,169,
1999-06,170,
1999-07,175,
1999-08,175,
1999-09,179,
1999-10,180,
1999-11,182,
1999-12,184,
2000-01,184,
2000-02,186,
2000-03,185,
2000-04,190,
2000-05,193,
2000-06,195,
2000-07,198,
2000-08,199,
2000-09,200,
2000-10,205,
2000-11,206,
2000-12,207,
2001-01,212,
2001-02,214,
2001-03,218,
2001-04,215,
2001-05,217,
2001-06,220,
2001-07,232,
2001-08,234,
2001-09,225,
2001-10,224,
2001-11,224,
2001-12,227,
2002-01,228,
2002-02,228,
2002-03,227,
2002-04,227,
2002-05,227,
2002-06,233,
2002-07,237,
2002-08,238,
2002-09,237,
2002-10,238,
2002-11,237,
2002-12,232,
2003-01,230,
2003-02,229,
2003-03,227,
2003-04,229,
2003-05,233,
2003-06,229,
2003-07,229,
2003-08,231,
2003-09,227,
2003-10,228,
2003-11,224,
2003-12,225,
2004-01,225,
2004-02,225,
2004-03,225,
2004-04,225,
2004-05,224,
2004-06,224,
2004-07,223,
2004-08,225,
2004-09,226,
2004-10,224,
2004-11,225,
2004-12,226,
2005-01,231,
2005-02,233,
2005-03,231,
2005-04,232,
2005-05,230,
2005-06,231,
2005-07,231,
2005-08,230,
2005-09,232,
2005-10,235,
2005-11,235,
2005-12,240,
2006-01,251,
2006-02,251,
2006-03,251,
2006-04,252,
2006-05,254,
2006-06,255,
2006-07,272,
2006-08,272,
2006-09,274,
2006-10,273,
2006-11,276,
2006-12,277,
2007-01,278,
2007-02,279,
2007-03,279,
2007-04,287,
2007-05,294,
2007-06,299,
2007-07,300,
2007-08,303,
2007-09,312,
2007-10,347,
2007-11,372,
2007-12,410,
2008-01,418,
2008-02,432,
2008-03,435,
2008-04,451,
2008-05,463,
2008-06,469,
2008-07,484,
2008-08,492,
2008-09,511,
2008-10,513,
2008-11,514,
2008-12,534,
2009-01,535,
2009-02,542,
2009-03,544,
2009-04,539,
2009-05,500,
2009-06,499,
2009-07,497,
2009-08,500,
2009-09,479,
2009-10,476,
2009-11,479,
2009-12,493,
2010-01,491,
2010-02,488,
2010-03,487,
2010-04,490,
2010-05,498,
2010-06,506,
2010-07,511,
2010-08,510,
2010-09,505,
2010-10,512,
2010-11,514,
2010-12,511,
2011-01,512,
2011-02,512,
2011-03,513,
2011-04,514,
2011-05,515,
2011-06,511,
2011-07,509,
2011-08,500,
2011-09,498,
2011-10,498,
2011-11,501,
2011-12,502,
2012-01,509,
2012-02,513,
2012-03,517,
2012-04,530,
2012-05,531,
2012-06,538,
2012-07,543,
2012-08,545,
2012-09,543,
2012-10,544,
2012-11,549,
2012-12,552,
2013-01,554,
2013-02,555,
2013-03,553,
2013-04,553,
2013-05,551,
2013-06,552,
2013-07,567,
2013-08,569,
2013-09,557,
2013-10,553,
2013-11,544,
2013-12,555,
2014-01,559,
2014-02,563,
2014-03,564,
2014-04,576,
2014-05,570,
2014-06,569,
2014-07,567,
2014-08,601,
2014-09,596,
2014-10,597,
2014-11,577,
