"",BBK01.OEAC21Q,BBK01.OEAC21Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:56,
2002-01,0.317,
2002-04,0.374,
2002-07,0.396,
2002-10,0.330,
2003-01,0.344,
2003-04,0.384,
2003-07,0.372,
2003-10,0.279,
2004-01,0.292,
2004-04,0.331,
2004-07,0.334,
2004-10,0.240,
2005-01,0.270,
2005-04,0.317,
2005-07,0.308,
2005-10,0.220,
2006-01,0.274,
2006-04,0.293,
2006-07,0.295,
2006-10,0.211,
2007-01,0.221,
2007-04,0.266,
2007-07,0.264,
2007-10,0.197,
2008-01,0.226,
2008-04,0.293,
2008-07,0.282,
2008-10,0.215,
2009-01,0.267,
2009-04,0.343,
2009-07,0.346,
2009-10,0.249,
2010-01,0.272,
2010-04,0.325,
2010-07,0.287,
2010-10,0.198,
2011-01,0.224,
2011-04,0.280,
2011-07,0.285,
2011-10,0.221,
2012-01,0.272,
2012-04,0.343,
2012-07,0.291,
2012-10,0.261,
2013-01,0.268,
2013-04,0.302,
2013-07,0.290,
2013-10,0.217,
2014-01,0.241,
2014-04,0.287,
2014-07,0.288,
