"",BBK01.OEAE34J,BBK01.OEAE34J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:47,
2002-01,0.618,
2002-04,0.617,
2002-07,0.707,
2002-10,0.727,
2003-01,0.723,
2003-04,0.721,
2003-07,0.725,
2003-10,0.729,
2004-01,0.715,
2004-04,0.716,
2004-07,0.736,
2004-10,0.720,
2005-01,0.725,
2005-04,0.717,
2005-07,0.723,
2005-10,0.709,
2006-01,0.702,
2006-04,0.733,
2006-07,0.729,
2006-10,0.730,
2007-01,0.728,
2007-04,0.716,
2007-07,0.713,
2007-10,0.706,
2008-01,0.702,
2008-04,0.703,
2008-07,0.607,
2008-10,0.600,
2009-01,0.567,
2009-04,0.564,
2009-07,0.546,
2009-10,0.528,
2010-01,0.338,
2010-04,0.724,
2010-07,0.727,
2010-10,0.724,
2011-01,0.714,
2011-04,0.495,
2011-07,0.520,
2011-10,0.489,
2012-01,0.482,
2012-04,0.870,
2012-07,0.870,
2012-10,0.863,
2013-01,0.878,
2013-04,0.868,
2013-07,0.863,
2013-10,0.861,
2014-01,0.857,
2014-04,0.854,
2014-07,0.857,
