"",BBK01.OEAD37I,BBK01.OEAD37I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:13,
2002-01,0.210,
2002-04,0.217,
2002-07,0.210,
2002-10,0.210,
2003-01,0.214,
2003-04,0.222,
2003-07,0.211,
2003-10,0.203,
2004-01,0.206,
2004-04,0.206,
2004-07,0.207,
2004-10,0.195,
2005-01,0.192,
2005-04,0.180,
2005-07,0.175,
2005-10,0.179,
2006-01,0.178,
2006-04,0.194,
2006-07,0.182,
2006-10,0.202,
2007-01,0.197,
2007-04,0.230,
2007-07,0.232,
2007-10,0.274,
2008-01,0.272,
2008-04,0.286,
2008-07,0.293,
2008-10,0.241,
2009-01,0.227,
2009-04,0.226,
2009-07,0.214,
2009-10,0.206,
2010-01,0.141,
2010-04,0.138,
2010-07,0.145,
2010-10,0.125,
2011-01,0.220,
2011-04,0.215,
2011-07,0.190,
2011-10,0.186,
2012-01,0.180,
2012-04,0.184,
2012-07,0.176,
2012-10,0.169,
2013-01,0.167,
2013-04,0.166,
2013-07,0.162,
2013-10,0.178,
2014-01,0.170,
2014-04,0.175,
2014-07,0.159,
