"",BBK01.OEYL01M,BBK01.OEYL01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:55,
2002-01,20.337,
2002-04,20.319,
2002-07,20.298,
2002-10,21.048,
2003-01,21.326,
2003-04,21.369,
2003-07,21.494,
2003-10,22.181,
2004-01,22.392,
2004-04,22.492,
2004-07,22.543,
2004-10,23.115,
2005-01,23.271,
2005-04,23.465,
2005-07,24.145,
2005-10,24.736,
2006-01,24.865,
2006-04,24.832,
2006-07,24.599,
2006-10,24.994,
2007-01,25.000,
2007-04,24.922,
2007-07,24.653,
2007-10,24.955,
2008-01,24.715,
2008-04,24.587,
2008-07,24.053,
2008-10,24.423,
2009-01,24.357,
2009-04,24.315,
2009-07,24.258,
2009-10,24.903,
2010-01,25.004,
2010-04,25.202,
2010-07,25.262,
2010-10,25.923,
2011-01,25.919,
2011-04,26.051,
2011-07,26.037,
2011-10,26.615,
2012-01,26.577,
2012-04,26.794,
2012-07,26.900,
2012-10,27.517,
2013-01,27.365,
2013-04,27.497,
2013-07,27.438,
2013-10,27.864,
2014-01,28.291,
2014-04,27.807,
2014-07,28.766,
