"",BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.SG.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / Singapore,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:20,
1991-01,51.304,
1991-04,-0.014,
1991-07,-2.712,
1991-10,-0.021,
1992-01,-16.398,
1992-04,-0.062,
1992-07,-34.010,
1992-10,143.131,
1993-01,-40.942,
1993-04,-161.896,
1993-07,-0.017,
1993-10,-15.348,
1994-01,-0.047,
1994-04,-0.064,
1994-07,-10.348,
1994-10,20.410,
1995-01,-5.364,
1995-04,-,Nothing exists
1995-07,-6.243,
1995-10,-25.439,
1996-01,-0.109,
1996-04,-2.556,
1996-07,-0.037,
1996-10,-0.005,
1997-01,0.012,
1997-04,-0.020,
1997-07,-0.028,
1997-10,-0.109,
1998-01,5.073,
1998-04,-10.794,
1998-07,50.740,
1998-10,-11.900,
1999-01,-0.018,
1999-04,-0.106,
1999-07,-0.033,
1999-10,-11.900,
2000-01,-0.493,
2000-04,-0.007,
2000-07,0.351,
2000-10,0.434,
2001-01,0.005,
2001-04,181.947,
2001-07,217.470,
2001-10,58.440,
2002-01,22.947,
2002-04,9.255,
2002-07,13.463,
2002-10,73.017,
2003-01,80.317,
2003-04,7.968,
2003-07,5.431,
2003-10,-31.973,
2004-01,-12.682,
2004-04,44.987,
2004-07,-15.630,
2004-10,18.606,
2005-01,-7.092,
2005-04,10.209,
2005-07,-69.660,
2005-10,-20.918,
2006-01,389.193,
2006-04,162.417,
2006-07,-70.134,
2006-10,-1.839,
2007-01,-14.457,
2007-04,102.782,
2007-07,4.381,
2007-10,-42.680,
2008-01,4.968,
2008-04,213.581,
2008-07,-0.213,
2008-10,-0.997,
2009-01,-0.217,
2009-04,-141.828,
2009-07,-0.024,
2009-10,-0.169,
2010-01,24.866,
2010-04,0.095,
2010-07,84.691,
2010-10,-1.488,
2011-01,-30.920,
2011-04,-1.368,
2011-07,-4.658,
2011-10,196.834,
2012-01,6.596,
2012-04,-8.305,
2012-07,-5.804,
2012-10,123.371,
2013-01,194.079,
2013-04,-81.842,
2013-07,25.426,
2013-10,70.953,
2014-01,6.711,Provisional value
2014-04,74.937,Provisional value
2014-07,-62.512,Provisional value
2014-10,50.146,Provisional value
