"",BBSF2.M.1.T.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.GEF01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Mixed funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:08,
2009-09,158854,
2009-10,159126,
2009-11,159417,
2009-12,161454,
2010-01,163909,
2010-02,165692,
2010-03,169197,
2010-04,174625,
2010-05,177249,
2010-06,176234,
2010-07,180279,
2010-08,183752,
2010-09,188287,
2010-10,189316,
2010-11,187839,
2010-12,182139,
2011-01,181909,
2011-02,183095,
2011-03,182346,
2011-04,186027,
2011-05,186776,
2011-06,185681,
2011-07,187267,
2011-08,182891,
2011-09,181781,
2011-10,184068,
2011-11,183003,
2011-12,185140,
2012-01,190197,
2012-02,199745,
2012-03,200137,
2012-04,204338,
2012-05,203061,
2012-06,206960,
2012-07,212667,
2012-08,214122,
2012-09,215281,
2012-10,216510,
2012-11,217146,
2012-12,218576,
2013-01,220490,
2013-02,222075,
2013-03,222907,
2013-04,226300,
2013-05,224647,
2013-06,219590,
2013-07,226574,
2013-08,224606,
2013-09,228743,
2013-10,233501,
2013-11,234376,
2013-12,231578,
2014-01,232517,
2014-02,236797,
2014-03,237943,
2014-04,240819,
2014-05,245027,
2014-06,247134,
2014-07,246233,
2014-08,223860,
2014-09,224527,
2014-10,236071,
2014-11,241489,
